time_s,tx_node,rx_node,rx_power_dbm,throughput_kbps
1,1,0,-44.64,105864.25
2,1,0,-44.64,346899.68
3,1,0,-44.64,67126.99
4,1,0,-44.64,420208.66
5,1,0,-44.64,69203.73
6,1,0,-44.64,424095.29
7,1,0,-44.64,68164.87
8,1,0,-44.64,425067.97
9,1,0,-44.64,68151.1
10,1,0,-44.64,421322.38
11,1,0,-44.64,68145.31
12,1,0,-44.64,417766.28
13,1,0,-44.64,68169.98
14,1,0,-44.64,423713.66
15,1,0,-44.64,66059.63
16,1,0,-44.64,420495.9
17,1,0,-44.64,69210.1
18,1,0,-44.64,424619.39
19,1,0,-44.64,67106.18
20,1,0,-44.64,422311.45
21,1,0,-44.64,69205.67
22,1,0,-44.64,424198.71
23,1,0,-44.64,68156.01
24,1,0,-44.64,424477.84
25,1,0,-44.64,69206.29
26,1,0,-44.64,423878.46
27,1,0,-44.64,69212.59
28,1,0,-44.64,424118.11
29,1,0,-44.64,68151.79
30,1,0,-44.64,424990.54
31,1,0,-44.64,67110.61
32,1,0,-44.64,424682.83
33,1,0,-44.64,68156.01
34,1,0,-44.64,424051.19
35,1,0,-44.64,69210.03
36,1,0,-44.64,424967.74
37,1,0,-44.64,69190.31
38,1,0,-44.64,424383.03
39,1,0,-44.64,68173.87
40,1,0,-44.64,424395.82
41,1,0,-44.64,68153.56
42,1,0,-44.64,425019.29
43,1,0,-44.64,67094.24
44,1,0,-44.64,423234.9
45,1,0,-44.64,69224.29
46,1,0,-44.64,426133.58
47,1,0,-44.64,69201.45
48,1,0,-44.64,424407.84
49,1,0,-44.64,68163.1
50,1,0,-44.64,424417.13
51,1,0,-44.64,69199.3
52,1,0,-44.64,424081.52
53,1,0,-44.64,69206.29
54,1,0,-44.64,424298.98
55,1,0,-44.64,69205.88
56,1,0,-44.64,424544.11
57,1,0,-44.64,67115.24
58,1,0,-44.64,423995.13
59,1,0,-44.64,68150.62
60,1,0,-44.64,424624.58
61,1,0,-44.64,69211.69
62,1,0,-44.64,423613.27
63,1,0,-44.64,69205.4
64,1,0,-44.64,424929.75
65,1,0,-44.64,69182.64
66,1,0,-44.64,424269.14
67,1,0,-44.64,67127.86
68,1,0,-44.64,424668.52
69,1,0,-44.64,68156.49
70,1,0,-44.64,424501.99
71,1,0,-44.64,67108.8
72,1,0,-44.64,423594.66
73,1,0,-44.64,70254.59
74,1,0,-44.64,425299.39
75,1,0,-44.64,69206.02
76,1,0,-44.64,423422.98
77,1,0,-44.64,69205.95
78,1,0,-44.64,424544.11
79,1,0,-44.64,69205.95
80,1,0,-44.64,424047.59
81,1,0,-44.64,69199.51
82,1,0,-44.64,424069.22
83,1,0,-44.64,69212.66
84,1,0,-44.64,424590.48
85,1,0,-44.64,69207.19
86,1,0,-44.64,423926.67
87,1,0,-44.64,69204.84
88,1,0,-44.64,423868.27
89,1,0,-44.64,69208.71
90,1,0,-44.64,424547.72
91,1,0,-44.64,68154.38
92,1,0,-44.64,424044.27
93,1,0,-44.64,69206.22
94,1,0,-44.64,424878.5
95,1,0,-44.64,68158.12
96,1,0,-44.64,422564.92
97,1,0,-44.64,69205.95
98,1,0,-44.64,426021.92
99,1,0,-44.64,69205.4
100,1,0,-44.64,424410.45
101,1,0,-44.64,68160.24
102,1,0,-44.64,424389.8
103,1,0,-44.64,70211.06
104,1,0,-44.64,423639.87
105,1,0,-44.64,68198.84
106,1,0,-44.64,424697.28
107,1,0,-44.64,68155.87
108,1,0,-44.64,424601.92
109,1,0,-44.64,67093.23
110,1,0,-44.64,422862.84
111,1,0,-44.64,70270.96
112,1,0,-44.64,425504.28
113,1,0,-44.64,69208.99
114,1,0,-44.64,422805.32
115,1,0,-44.64,67088.94
116,1,0,-44.64,426276.18
117,1,0,-44.64,69223.94
118,1,0,-44.64,423381.65
119,1,0,-44.64,69211.07
120,1,0,-44.64,424831.36
121,1,0,-44.64,69205.81
122,1,0,-44.64,423014.45
123,1,0,-44.64,68152.53
124,1,0,-44.64,425967.56
125,1,0,-44.64,70254.24
126,1,0,-44.64,423624.49
127,1,0,-44.64,68151.51
128,1,0,-44.64,424661.06
129,1,0,-44.64,68167.6
130,1,0,-44.64,423734.08
131,1,0,-44.64,66946.12
132,1,0,-44.64,425002.47
133,1,0,-44.64,68298.0
134,1,0,-44.64,425322.49
135,1,0,-44.64,69227.89
136,1,0,-44.64,422700.61
137,1,0,-44.64,69205.6
138,1,0,-44.64,425145.88
139,1,0,-44.64,68157.58
140,1,0,-44.64,423941.87
141,1,0,-44.64,70261.27
142,1,0,-44.64,425166.81
143,1,0,-44.64,68151.1
144,1,0,-44.64,424375.64
145,1,0,-44.64,70246.03
146,1,0,-44.64,423781.49
147,1,0,-44.64,67116.52
148,1,0,-44.64,424980.76
149,1,0,-44.64,69206.78
150,1,0,-44.64,423957.76
151,1,0,-44.64,61860.98
152,1,0,-44.64,427479.31
153,1,0,-44.64,60822.03
154,1,0,-44.64,429391.2
155,1,0,-44.64,70256.28
156,1,0,-44.64,423448.15
157,1,0,-44.64,69204.42
158,1,0,-44.64,423734.4
159,1,0,-44.64,62914.75
160,1,0,-44.64,427736.17
161,1,0,-44.64,71286.55
162,1,0,-44.64,422988.43
163,1,0,-44.64,69221.87
164,1,0,-44.64,424525.48
165,1,0,-44.64,66060.55
166,1,0,-44.64,424232.64
167,1,0,-44.64,70254.59
168,1,0,-44.64,424243.42
169,1,0,-44.64,69205.67
170,1,0,-44.64,423096.93
171,1,0,-44.64,69208.37
172,1,0,-44.64,425616.24
173,1,0,-44.64,67106.65
174,1,0,-44.64,424465.39
175,1,0,-44.64,68147.69
176,1,0,-44.64,425222.12
177,1,0,-44.64,69215.84
178,1,0,-44.64,423922.78
179,1,0,-44.64,63961.02
180,1,0,-44.64,424523.71
181,1,0,-44.64,60822.82
182,1,0,-44.64,430690.9
183,1,0,-44.64,67105.1
184,1,0,-44.64,425403.7
185,1,0,-44.64,70254.59
186,1,0,-44.64,423402.67
187,1,0,-44.64,69205.95
188,1,0,-44.64,424231.37
189,1,0,-44.64,68158.19
190,1,0,-44.64,423202.44
191,1,0,-44.64,69205.32
192,1,0,-44.64,424904.79
193,1,0,-44.64,70254.87
194,1,0,-44.64,424181.24
195,1,0,-44.64,68149.06
196,1,0,-44.64,424265.45
197,1,0,-44.64,68165.48
198,1,0,-44.64,424970.81
199,1,0,-44.64,68158.19
200,1,0,-44.64,422407.91
201,1,0,-44.64,68163.71
202,1,0,-44.64,426104.87
203,1,0,-44.64,68148.99
204,1,0,-44.64,424839.46
205,1,0,-44.64,69207.54
206,1,0,-44.64,424076.79
207,1,0,-44.64,68157.58
208,1,0,-44.64,424276.61
209,1,0,-44.64,69206.29
210,1,0,-44.64,414295.24
211,1,0,-44.64,69136.88
212,1,0,-44.64,423123.53
213,1,0,-44.64,68225.12
214,1,0,-44.64,424929.81
215,1,0,-44.64,69206.16
216,1,0,-44.64,424297.42
217,1,0,-44.64,68158.67
218,1,0,-44.64,425027.47
219,1,0,-44.64,69204.77
220,1,0,-44.64,423565.92
221,1,0,-44.64,67109.6
222,1,0,-44.64,420140.57
223,1,0,-44.64,67114.84
224,1,0,-44.64,424871.79
225,1,0,-44.64,69201.45
226,1,0,-44.64,424128.28
227,1,0,-44.64,69203.59
228,1,0,-44.64,423763.59
229,1,0,-44.64,68159.08
230,1,0,-44.64,424396.34
231,1,0,-44.64,69195.29
232,1,0,-44.64,424443.4
233,1,0,-44.64,68167.19
234,1,0,-44.64,423504.27
235,1,0,-44.64,68156.76
236,1,0,-44.64,425101.02
237,1,0,-44.64,70256.84
238,1,0,-44.64,423890.31
239,1,0,-44.64,68155.05
240,1,0,-44.64,424529.63
241,1,0,-44.64,69163.76
242,1,0,-44.64,424717.6
243,1,0,-44.64,67149.56
244,1,0,-44.64,421825.56
245,1,0,-44.64,70256.0
246,1,0,-44.64,426385.43
247,1,0,-44.64,69209.96
248,1,0,-44.64,424300.76
249,1,0,-44.64,67104.3
250,1,0,-44.64,424462.15
251,1,0,-44.64,69204.91
252,1,0,-44.64,424441.08
253,1,0,-44.64,69206.92
254,1,0,-44.64,423589.81
255,1,0,-44.64,68158.81
256,1,0,-44.64,424942.08
257,1,0,-44.64,69203.87
258,1,0,-44.64,424491.15
259,1,0,-44.64,67109.67
260,1,0,-44.64,424524.67
261,1,0,-44.64,67110.68
262,1,0,-44.64,422696.01
263,1,0,-44.64,68156.42
264,1,0,-44.64,427280.7
265,1,0,-44.64,68150.01
266,1,0,-44.64,422983.36
267,1,0,-44.64,69212.66
268,1,0,-44.64,425582.45
269,1,0,-44.64,68157.71
270,1,0,-44.64,424948.01
271,1,0,-44.64,70255.65
272,1,0,-44.64,424624.78
273,1,0,-44.64,68156.49
274,1,0,-44.64,423859.79
275,1,0,-44.64,69210.65
276,1,0,-44.64,424085.35
277,1,0,-44.64,68152.53
278,1,0,-44.64,424696.86
279,1,0,-44.64,68158.46
280,1,0,-44.64,424092.33
281,1,0,-44.64,68154.65
282,1,0,-44.64,426292.31
283,1,0,-44.64,68159.28
284,1,0,-44.64,423876.57
285,1,0,-44.64,67107.86
286,1,0,-44.64,423740.13
287,1,0,-44.64,69207.47
288,1,0,-44.64,425038.71
289,1,0,-44.64,67107.93
290,1,0,-44.64,425035.91
291,1,0,-44.64,69102.71
292,1,0,-44.64,422674.57
293,1,0,-44.64,69310.19
294,1,0,-44.64,426130.57
295,1,0,-44.64,68161.8
296,1,0,-44.64,424960.37
297,1,0,-44.64,69205.4
298,1,0,-44.64,424303.47
299,1,0,-44.64,68159.55
300,1,0,-44.64,424790.06
301,1,0,-44.64,68151.1
302,1,0,-44.64,424725.56
303,1,0,-44.64,60818.26
304,1,0,-44.64,428239.07
305,1,0,-44.64,69205.26
306,1,0,-44.64,423967.05
307,1,0,-44.64,69205.18
308,1,0,-44.64,423687.47
309,1,0,-44.64,67109.94
310,1,0,-44.64,426211.65
311,1,0,-44.64,69201.66
312,1,0,-44.64,423979.89
313,1,0,-44.64,68163.44
314,1,0,-44.64,423867.96
315,1,0,-44.64,69206.09
316,1,0,-44.64,424321.36
317,1,0,-44.64,67107.38
318,1,0,-44.64,425721.11
319,1,0,-44.64,67085.05
320,1,0,-44.64,422565.38
321,1,0,-44.64,68172.58
322,1,0,-44.64,426447.51
323,1,0,-44.64,68017.19
324,1,0,-44.64,424362.2
325,1,0,-44.64,69358.54
326,1,0,-44.64,423456.55
327,1,0,-44.64,69207.12
328,1,0,-44.64,425210.85
329,1,0,-44.64,68155.81
330,1,0,-44.64,424306.16
331,1,0,-44.64,69206.02
332,1,0,-44.64,424285.7
333,1,0,-44.64,69194.6
334,1,0,-44.64,422933.03
335,1,0,-44.64,62928.78
336,1,0,-44.64,428534.8
337,1,0,-44.64,71299.11
338,1,0,-44.64,423064.11
339,1,0,-44.64,68131.75
340,1,0,-44.64,425084.74
341,1,0,-44.64,69238.42
342,1,0,-44.64,424485.62
343,1,0,-44.64,69200.41
344,1,0,-44.64,423366.69
345,1,0,-44.64,68158.39
346,1,0,-44.64,425240.21
347,1,0,-44.64,69208.85
348,1,0,-44.64,423871.72
349,1,0,-44.64,69184.7
350,1,0,-44.64,424056.61
351,1,0,-44.64,68119.02
352,1,0,-44.64,424113.09
353,1,0,-44.64,70303.45
354,1,0,-44.64,424343.36
355,1,0,-44.64,68157.51
356,1,0,-44.64,423520.46
357,1,0,-44.64,68165.62
358,1,0,-44.64,425977.23
359,1,0,-44.64,68156.55
360,1,0,-44.64,422347.34
361,1,0,-44.64,68151.17
362,1,0,-44.64,426916.86
363,1,0,-44.64,67116.98
364,1,0,-44.64,424891.52
365,1,0,-44.64,68156.55
366,1,0,-44.64,424298.13
367,1,0,-44.64,68068.61
368,1,0,-44.64,424756.13
369,1,0,-44.64,66146.68
370,1,0,-44.64,426006.59
371,1,0,-44.64,68152.47
372,1,0,-44.64,422878.47
373,1,0,-44.64,68161.12
374,1,0,-44.64,426770.9
375,1,0,-44.64,67111.21
376,1,0,-44.64,424820.29
377,1,0,-44.64,69204.42
378,1,0,-44.64,423411.97
379,1,0,-44.64,68156.21
380,1,0,-44.64,423694.02
381,1,0,-44.64,68159.76
382,1,0,-44.64,426331.02
383,1,0,-44.64,69210.24
384,1,0,-44.64,424504.0
385,1,0,-44.64,68114.94
386,1,0,-44.64,424437.02
387,1,0,-44.64,67138.07
388,1,0,-44.64,424646.95
389,1,0,-44.64,68164.87
390,1,0,-44.64,423016.96
391,1,0,-44.64,69205.95
392,1,0,-44.64,423433.28
393,1,0,-44.64,68157.03
394,1,0,-44.64,427679.87
395,1,0,-44.64,70255.86
396,1,0,-44.64,423466.76
397,1,0,-44.64,68157.98
398,1,0,-44.64,424600.56
399,1,0,-44.64,67108.86
400,1,0,-44.64,425060.88
401,1,0,-44.64,68150.42
402,1,0,-44.64,424640.56
403,1,0,-44.64,69191.7
404,1,0,-44.64,424124.51
405,1,0,-44.64,68176.8
406,1,0,-44.64,423970.93
407,1,0,-44.64,67110.41
408,1,0,-44.64,425141.29
409,1,0,-44.64,68157.58
410,1,0,-44.64,424335.04
411,1,0,-44.64,69204.49
412,1,0,-44.64,423728.79
413,1,0,-44.64,67088.67
414,1,0,-44.64,425544.09
415,1,0,-44.64,67129.34
416,1,0,-44.64,424948.66
417,1,0,-44.64,68151.58
418,1,0,-44.64,424486.77
419,1,0,-44.64,69088.43
420,1,0,-44.64,423635.08
421,1,0,-44.64,66167.35
422,1,0,-44.64,423938.32
423,1,0,-44.64,69205.53
424,1,0,-44.64,425851.5
425,1,0,-44.64,67122.15
426,1,0,-44.64,423215.2
427,1,0,-44.64,69204.77
428,1,0,-44.64,424772.39
429,1,0,-44.64,68157.03
430,1,0,-44.64,425512.54
431,1,0,-44.64,67108.66
432,1,0,-44.64,424877.95
433,1,0,-44.64,69194.39
434,1,0,-44.64,424397.3
435,1,0,-44.64,68168.41
