time_s,tx_node,rx_node,rx_power_dbm,throughput_kbps
1,0,1,-45.64,59432.62
2,0,1,-45.64,371312.47
3,0,1,-45.64,459960.5
4,0,1,-45.64,457719.5
5,0,1,-45.64,463160.69
6,0,1,-45.64,460271.47
7,0,1,-45.64,460148.01
8,0,1,-45.64,460268.23
9,0,1,-45.64,460235.68
10,0,1,-45.64,460122.06
11,0,1,-45.64,440255.17
12,0,1,-45.64,463295.51
13,0,1,-45.64,459152.45
14,0,1,-45.64,458727.57
15,0,1,-45.64,462872.73
16,0,1,-45.64,458301.37
17,0,1,-45.64,462173.15
18,0,1,-45.64,460214.31
19,0,1,-45.64,460216.12
20,0,1,-45.64,458784.87
21,0,1,-45.64,458367.75
22,0,1,-45.64,463285.22
23,0,1,-45.64,460283.62
24,0,1,-45.64,458571.22
25,0,1,-45.64,460938.3
26,0,1,-45.64,461120.16
27,0,1,-45.64,460545.37
28,0,1,-45.64,458709.84
29,0,1,-45.64,461742.99
30,0,1,-45.64,456848.1
31,0,1,-45.64,463504.03
32,0,1,-45.64,457761.26
33,0,1,-45.64,459938.5
34,0,1,-45.64,463062.51
35,0,1,-45.64,460240.87
36,0,1,-45.64,457136.71
37,0,1,-45.64,463322.0
38,0,1,-45.64,460096.12
39,0,1,-45.64,460164.53
40,0,1,-45.64,458882.6
41,0,1,-45.64,461094.53
42,0,1,-45.64,460493.26
43,0,1,-45.64,460121.86
44,0,1,-45.64,457282.12
45,0,1,-45.64,460579.69
46,0,1,-45.64,460338.25
47,0,1,-45.64,462638.98
48,0,1,-45.64,460223.06
49,0,1,-45.64,460159.02
50,0,1,-45.64,459935.3
51,0,1,-45.64,457361.44
52,0,1,-45.64,463389.09
53,0,1,-45.64,456931.05
54,0,1,-45.64,463428.48
55,0,1,-45.64,460284.06
56,0,1,-45.64,459139.58
57,0,1,-45.64,460389.59
58,0,1,-45.64,452478.83
59,0,1,-45.64,460513.08
60,0,1,-45.64,459753.9
61,0,1,-45.64,463424.49
62,0,1,-45.64,460175.78
63,0,1,-45.64,460368.52
64,0,1,-45.64,460250.34
65,0,1,-45.64,458935.62
66,0,1,-45.64,461317.02
67,0,1,-45.64,460269.6
68,0,1,-45.64,458883.09
69,0,1,-45.64,461628.98
70,0,1,-45.64,457061.92
71,0,1,-45.64,460200.17
72,0,1,-45.64,463403.71
73,0,1,-45.64,460232.2
74,0,1,-45.64,460148.48
75,0,1,-45.64,460230.83
76,0,1,-45.64,460358.64
77,0,1,-45.64,458191.27
78,0,1,-45.64,459842.93
79,0,1,-45.64,459516.02
80,0,1,-45.64,463439.5
81,0,1,-45.64,460103.63
82,0,1,-45.64,460224.04
83,0,1,-45.64,460293.94
84,0,1,-45.64,460077.79
85,0,1,-45.64,456910.05
86,0,1,-45.64,461079.88
87,0,1,-45.64,462903.02
88,0,1,-45.64,460089.95
89,0,1,-45.64,460331.34
90,0,1,-45.64,457993.26
91,0,1,-45.64,462457.36
92,0,1,-45.64,460214.31
93,0,1,-45.64,460415.77
94,0,1,-45.64,460036.03
95,0,1,-45.64,460270.53
96,0,1,-45.64,458774.3
97,0,1,-45.64,461790.14
98,0,1,-45.64,460220.29
99,0,1,-45.64,460151.41
100,0,1,-45.64,460187.47
101,0,1,-45.64,460151.91
102,0,1,-45.64,457455.58
103,0,1,-45.64,460157.35
104,0,1,-45.64,460714.59
105,0,1,-45.64,462596.7
106,0,1,-45.64,460428.3
107,0,1,-45.64,459850.51
108,0,1,-45.64,460521.61
109,0,1,-45.64,460191.61
110,0,1,-45.64,460163.13
111,0,1,-45.64,457434.78
112,0,1,-45.64,463098.25
113,0,1,-45.64,460322.59
114,0,1,-45.64,460199.19
115,0,1,-45.64,459042.47
116,0,1,-45.64,459346.64
117,0,1,-45.64,462234.44
118,0,1,-45.64,460325.82
119,0,1,-45.64,456831.81
120,0,1,-45.64,460558.74
121,0,1,-45.64,460404.74
122,0,1,-45.64,461658.6
123,0,1,-45.64,458256.51
124,0,1,-45.64,461188.67
125,0,1,-45.64,462667.31
126,0,1,-45.64,458653.87
127,0,1,-45.64,460199.63
128,0,1,-45.64,461770.88
129,0,1,-45.64,460248.03
130,0,1,-45.64,460128.97
131,0,1,-45.64,460352.91
132,0,1,-45.64,460278.27
133,0,1,-45.64,457655.52
134,0,1,-45.64,460669.46
135,0,1,-45.64,462310.08
136,0,1,-45.64,457007.1
137,0,1,-45.64,463558.26
138,0,1,-45.64,460089.04
139,0,1,-45.64,457606.7
140,0,1,-45.64,462722.56
141,0,1,-45.64,458983.55
142,0,1,-45.64,458670.12
143,0,1,-45.64,460109.71
144,0,1,-45.64,463259.07
145,0,1,-45.64,458011.44
146,0,1,-45.64,462465.24
147,0,1,-45.64,460199.63
148,0,1,-45.64,458660.5
149,0,1,-45.64,461906.29
150,0,1,-45.64,460000.93
151,0,1,-45.64,460204.65
152,0,1,-45.64,458305.02
153,0,1,-45.64,462274.3
154,0,1,-45.64,459889.42
155,0,1,-45.64,457645.65
156,0,1,-45.64,459970.42
157,0,1,-45.64,463475.22
158,0,1,-45.64,460219.82
159,0,1,-45.64,460108.77
160,0,1,-45.64,460178.52
161,0,1,-45.64,460343.28
162,0,1,-45.64,460286.83
163,0,1,-45.64,458483.02
164,0,1,-45.64,461908.02
165,0,1,-45.64,458996.42
166,0,1,-45.64,461537.38
167,0,1,-45.64,457217.74
168,0,1,-45.64,463066.81
169,0,1,-45.64,458060.93
170,0,1,-45.64,460518.46
171,0,1,-45.64,462334.25
172,0,1,-45.64,460196.88
173,0,1,-45.64,460241.86
174,0,1,-45.64,457174.34
175,0,1,-45.64,463223.02
176,0,1,-45.64,460414.59
177,0,1,-45.64,460110.61
178,0,1,-45.64,460056.69
179,0,1,-45.64,460186.1
180,0,1,-45.64,458505.89
181,0,1,-45.64,462494.91
182,0,1,-45.64,460532.85
183,0,1,-45.64,460006.71
184,0,1,-45.64,459644.57
185,0,1,-45.64,460834.05
186,0,1,-45.64,460219.36
187,0,1,-45.64,459656.28
188,0,1,-45.64,457322.57
189,0,1,-45.64,461253.03
190,0,1,-45.64,462164.75
191,0,1,-45.64,458137.59
192,0,1,-45.64,462213.74
193,0,1,-45.64,460407.29
194,0,1,-45.64,459715.95
195,0,1,-45.64,458771.56
196,0,1,-45.64,462211.65
197,0,1,-45.64,460098.7
198,0,1,-45.64,459121.9
199,0,1,-45.64,460013.55
200,0,1,-45.64,459936.67
201,0,1,-45.64,461839.27
202,0,1,-45.64,460803.74
203,0,1,-45.64,459717.58
204,0,1,-45.64,459449.61
205,0,1,-45.64,461567.23
206,0,1,-45.64,459645.06
207,0,1,-45.64,460446.29
208,0,1,-45.64,460086.54
209,0,1,-45.64,457542.68
210,0,1,-45.64,462886.38
211,0,1,-45.64,460294.6
212,0,1,-45.64,460734.5
213,0,1,-45.64,460204.23
214,0,1,-45.64,460191.37
215,0,1,-45.64,459614.08
216,0,1,-45.64,458067.87
217,0,1,-45.64,462523.77
218,0,1,-45.64,460501.3
219,0,1,-45.64,459839.17
220,0,1,-45.64,460036.96
221,0,1,-45.64,461090.11
222,0,1,-45.64,459709.53
223,0,1,-45.64,457833.5
224,0,1,-45.64,463070.14
225,0,1,-45.64,457377.65
226,0,1,-45.64,462605.27
227,0,1,-45.64,460165.44
228,0,1,-45.64,460357.74
229,0,1,-45.64,458136.46
230,0,1,-45.64,461534.76
231,0,1,-45.64,461416.55
232,0,1,-45.64,458293.38
233,0,1,-45.64,462247.7
234,0,1,-45.64,457115.2
235,0,1,-45.64,462652.79
236,0,1,-45.64,458431.15
237,0,1,-45.64,459334.23
238,0,1,-45.64,463105.78
239,0,1,-45.64,458988.61
240,0,1,-45.64,460277.8
241,0,1,-45.64,461895.23
242,0,1,-45.64,460231.27
243,0,1,-45.64,458685.5
244,0,1,-45.64,460104.76
245,0,1,-45.64,461720.16
246,0,1,-45.64,460337.54
247,0,1,-45.64,460260.68
248,0,1,-45.64,415475.2
249,0,1,-45.64,462465.46
250,0,1,-45.64,460198.25
251,0,1,-45.64,460178.06
252,0,1,-45.64,460299.65
253,0,1,-45.64,460704.2
254,0,1,-45.64,459115.96
255,0,1,-45.64,461394.54
256,0,1,-45.64,459801.55
257,0,1,-45.64,460731.5
258,0,1,-45.64,458552.45
259,0,1,-45.64,461763.16
260,0,1,-45.64,458010.09
261,0,1,-45.64,460301.59
262,0,1,-45.64,461827.58
263,0,1,-45.64,460723.9
264,0,1,-45.64,460271.47
265,0,1,-45.64,460178.67
266,0,1,-45.64,459460.16
267,0,1,-45.64,459604.02
268,0,1,-45.64,460767.23
