time_s,tx_node,rx_node,rx_power_dbm,throughput_kbps
1,0,1,-18.64,221029.43
2,0,1,-18.64,281931.25
3,0,1,-18.64,364730.68
4,0,1,-18.64,377562.41
5,0,1,-18.64,389584.22
6,0,1,-18.64,396997.49
7,0,1,-18.64,403474.84
8,0,1,-18.64,401559.6
9,0,1,-18.64,408415.16
10,0,1,-18.64,391503.25
11,0,1,-18.64,385473.2
12,0,1,-18.64,388823.73
13,0,1,-18.64,398343.77
14,0,1,-18.64,407645.26
15,0,1,-18.64,417501.31
16,0,1,-18.64,426393.18
17,0,1,-18.64,449371.1
18,0,1,-18.64,453471.78
19,0,1,-18.64,450175.19
20,0,1,-18.64,459873.27
21,0,1,-18.64,460393.58
22,0,1,-18.64,460384.95
23,0,1,-18.64,459368.45
24,0,1,-18.64,460531.46
25,0,1,-18.64,460611.38
26,0,1,-18.64,460315.75
27,0,1,-18.64,460118.43
28,0,1,-18.64,460287.54
29,0,1,-18.64,460181.52
30,0,1,-18.64,460317.8
31,0,1,-18.64,458728.46
32,0,1,-18.64,460710.54
33,0,1,-18.64,460308.06
34,0,1,-18.64,460155.05
35,0,1,-18.64,460201.54
36,0,1,-18.64,460302.28
37,0,1,-18.64,460499.62
38,0,1,-18.64,459845.32
39,0,1,-18.64,460292.09
40,0,1,-18.64,459912.96
41,0,1,-18.64,460615.19
42,0,1,-18.64,460217.88
43,0,1,-18.64,460136.43
44,0,1,-18.64,460207.47
45,0,1,-18.64,460196.27
46,0,1,-18.64,460131.87
47,0,1,-18.64,459877.26
48,0,1,-18.64,460874.99
49,0,1,-18.64,460179.65
50,0,1,-18.64,457819.11
51,0,1,-18.64,462731.95
52,0,1,-18.64,460000.4
53,0,1,-18.64,460398.57
54,0,1,-18.64,460030.04
55,0,1,-18.64,458782.18
56,0,1,-18.64,461824.46
57,0,1,-18.64,460190.95
58,0,1,-18.64,460298.79
59,0,1,-18.64,460267.19
60,0,1,-18.64,456841.47
61,0,1,-18.64,463526.42
62,0,1,-18.64,460255.63
63,0,1,-18.64,459626.97
64,0,1,-18.64,460706.36
65,0,1,-18.64,460179.2
66,0,1,-18.64,460266.9
67,0,1,-18.64,460185.38
68,0,1,-18.64,460364.76
69,0,1,-18.64,458981.74
70,0,1,-18.64,461471.81
71,0,1,-18.64,458110.67
72,0,1,-18.64,462456.45
73,0,1,-18.64,460152.73
74,0,1,-18.64,460123.6
75,0,1,-18.64,460134.17
76,0,1,-18.64,458212.49
77,0,1,-18.64,461452.59
78,0,1,-18.64,459933.72
79,0,1,-18.64,461255.07
80,0,1,-18.64,460565.25
81,0,1,-18.64,460170.99
82,0,1,-18.64,460347.47
83,0,1,-18.64,460132.3
84,0,1,-18.64,460097.34
85,0,1,-18.64,460074.28
86,0,1,-18.64,460335.24
87,0,1,-18.64,460135.78
88,0,1,-18.64,460337.68
89,0,1,-18.64,460438.08
90,0,1,-18.64,460222.35
91,0,1,-18.64,460069.73
92,0,1,-18.64,460262.97
93,0,1,-18.64,460137.47
94,0,1,-18.64,460138.0
95,0,1,-18.64,459347.33
96,0,1,-18.64,461109.26
97,0,1,-18.64,460438.94
98,0,1,-18.64,460038.11
99,0,1,-18.64,460287.76
100,0,1,-18.64,460285.14
101,0,1,-18.64,460265.07
102,0,1,-18.64,460205.17
103,0,1,-18.64,455458.69
104,0,1,-18.64,460932.25
105,0,1,-18.64,460023.91
106,0,1,-18.64,460094.78
107,0,1,-18.64,458366.34
108,0,1,-18.64,462196.53
109,0,1,-18.64,460357.74
110,0,1,-18.64,459374.35
111,0,1,-18.64,461163.1
112,0,1,-18.64,460097.43
113,0,1,-18.64,460213.23
114,0,1,-18.64,460064.29
115,0,1,-18.64,460366.96
116,0,1,-18.64,460286.78
117,0,1,-18.64,460073.7
118,0,1,-18.64,459245.67
119,0,1,-18.64,461143.41
120,0,1,-18.64,459716.84
121,0,1,-18.64,460781.81
122,0,1,-18.64,460540.25
123,0,1,-18.64,460151.21
124,0,1,-18.64,459120.08
125,0,1,-18.64,461204.73
126,0,1,-18.64,460034.83
127,0,1,-18.64,460379.86
128,0,1,-18.64,460062.32
129,0,1,-18.64,460122.84
130,0,1,-18.64,460082.39
131,0,1,-18.64,460318.89
132,0,1,-18.64,460082.16
133,0,1,-18.64,460478.95
134,0,1,-18.64,460154.57
135,0,1,-18.64,460123.44
136,0,1,-18.64,460347.58
137,0,1,-18.64,460242.32
138,0,1,-18.64,456565.46
139,0,1,-18.64,460257.99
140,0,1,-18.64,460326.75
141,0,1,-18.64,460078.55
142,0,1,-18.64,459718.3
143,0,1,-18.64,458503.69
144,0,1,-18.64,462314.17
145,0,1,-18.64,460159.02
146,0,1,-18.64,460331.33
147,0,1,-18.64,460005.56
148,0,1,-18.64,460093.14
149,0,1,-18.64,460243.79
150,0,1,-18.64,459958.9
151,0,1,-18.64,459809.57
152,0,1,-18.64,460751.02
153,0,1,-18.64,460215.24
154,0,1,-18.64,457646.57
155,0,1,-18.64,462831.86
156,0,1,-18.64,460059.13
157,0,1,-18.64,460140.04
158,0,1,-18.64,460204.65
159,0,1,-18.64,459641.21
160,0,1,-18.64,460986.87
161,0,1,-18.64,460268.68
162,0,1,-18.64,459812.03
163,0,1,-18.64,460693.45
164,0,1,-18.64,457577.8
165,0,1,-18.64,462741.66
166,0,1,-18.64,460121.5
167,0,1,-18.64,459683.39
168,0,1,-18.64,460713.75
169,0,1,-18.64,460394.24
170,0,1,-18.64,460199.11
171,0,1,-18.64,459430.16
172,0,1,-18.64,460984.23
173,0,1,-18.64,460155.48
