time_s,tx_node,rx_node,rx_power_dbm,throughput_kbps
1,1,0,-18.64,139441.36
2,1,0,-18.64,106958.92
3,1,0,-18.64,105904.06
4,1,0,-18.64,106955.18
5,1,0,-18.64,106954.54
6,1,0,-18.64,105905.33
7,1,0,-18.64,106954.0
8,1,0,-18.64,106958.39
9,1,0,-18.64,106952.51
10,1,0,-18.64,105905.12
11,1,0,-18.64,106954.11
12,1,0,-18.64,106953.9
13,1,0,-18.64,105908.72
14,1,0,-18.64,106952.83
15,1,0,-18.64,106953.36
16,1,0,-18.64,106958.07
17,1,0,-18.64,105906.08
18,1,0,-18.64,106954.0
19,1,0,-18.64,106954.54
20,1,0,-18.64,106956.25
21,1,0,-18.64,105905.33
22,1,0,-18.64,106930.8
23,1,0,-18.64,106979.47
24,1,0,-18.64,106954.54
25,1,0,-18.64,106955.07
26,1,0,-18.64,105905.86
27,1,0,-18.64,106955.71
28,1,0,-18.64,106728.7
29,1,0,-18.64,107156.52
30,1,0,-18.64,105930.22
31,1,0,-18.64,106956.89
32,1,0,-18.64,106952.39
33,1,0,-18.64,106954.11
34,1,0,-18.64,106955.07
35,1,0,-18.64,105906.71
36,1,0,-18.64,106955.61
37,1,0,-18.64,106954.11
38,1,0,-18.64,106953.68
39,1,0,-18.64,105904.17
40,1,0,-18.64,106956.57
41,1,0,-18.64,106910.92
42,1,0,-18.64,105950.25
43,1,0,-18.64,106955.18
44,1,0,-18.64,106954.22
45,1,0,-18.64,106952.39
46,1,0,-18.64,105760.86
47,1,0,-18.64,107105.98
48,1,0,-18.64,106953.68
49,1,0,-18.64,106954.65
50,1,0,-18.64,106954.65
51,1,0,-18.64,105905.86
52,1,0,-18.64,106952.72
53,1,0,-18.64,106935.07
54,1,0,-18.64,106919.79
55,1,0,-18.64,105962.02
56,1,0,-18.64,106955.93
57,1,0,-18.64,106954.11
58,1,0,-18.64,106952.72
59,1,0,-18.64,105907.55
60,1,0,-18.64,106950.37
61,1,0,-18.64,106958.82
62,1,0,-18.64,106944.49
63,1,0,-18.64,106965.88
64,1,0,-18.64,105907.02
65,1,0,-18.64,106954.22
66,1,0,-18.64,106954.32
67,1,0,-18.64,106954.75
68,1,0,-18.64,105893.05
69,1,0,-18.64,106960.53
70,1,0,-18.64,106961.06
71,1,0,-18.64,106954.54
72,1,0,-18.64,106939.79
73,1,0,-18.64,105922.91
74,1,0,-18.64,106954.54
75,1,0,-18.64,106954.97
76,1,0,-18.64,106953.15
77,1,0,-18.64,105908.82
78,1,0,-18.64,106952.39
79,1,0,-18.64,106956.25
80,1,0,-18.64,106950.26
81,1,0,-18.64,105902.15
82,1,0,-18.64,106965.13
83,1,0,-18.64,106951.87
84,1,0,-18.64,106954.32
85,1,0,-18.64,105779.45
86,1,0,-18.64,107059.56
87,1,0,-18.64,106978.29
88,1,0,-18.64,106958.18
89,1,0,-18.64,105903.52
90,1,0,-18.64,106955.61
91,1,0,-18.64,106955.93
92,1,0,-18.64,106953.26
