time_s,tx_node,rx_node,rx_power_dbm,throughput_kbps
1,1,0,-35.64,73027.64
2,1,0,-42.64,293177.4
3,1,0,-42.64,70387.45
4,1,0,-42.64,282011.04
5,1,0,-42.64,67302.34
6,1,0,-42.64,302724.8
7,1,0,-42.64,70064.14
8,1,0,-42.64,285140.53
9,1,0,-42.64,67141.32
10,1,0,-42.64,303108.13
11,1,0,-42.64,68920.54
12,1,0,-42.64,290661.74
13,1,0,-42.64,69046.29
14,1,0,-42.64,292888.41
15,1,0,-42.64,70293.7
16,1,0,-45.64,294569.49
17,1,0,-45.64,67060.33
18,1,0,-45.64,294541.12
19,1,0,-45.64,69873.52
20,1,0,-45.64,285274.35
21,1,0,-45.64,69040.89
22,1,0,-45.64,299048.09
23,1,0,-45.64,70456.38
24,1,0,-43.64,281157.28
25,1,0,-43.64,69033.15
26,1,0,-43.64,290777.69
27,1,0,-43.64,70299.49
28,1,0,-43.64,290945.63
29,1,0,-43.64,69683.42
30,1,0,-43.64,281333.65
31,1,0,-43.64,69281.61
32,1,0,-43.64,284191.36
33,1,0,-43.64,68100.55
34,1,0,-43.64,283962.29
35,1,0,-43.64,70804.84
36,1,0,-43.64,287877.28
37,1,0,-43.64,69393.1
38,1,0,-43.64,284754.63
39,1,0,-43.64,68759.77
40,1,0,-43.64,294735.14
41,1,0,-43.64,68843.78
42,1,0,-43.64,282436.66
43,1,0,-43.64,68561.8
44,1,0,-43.64,292309.9
45,1,0,-43.64,69753.91
46,1,0,-43.64,286111.54
47,1,0,-43.64,69394.49
48,1,0,-43.64,275722.85
49,1,0,-43.64,69875.83
50,1,0,-43.64,275502.63
51,1,0,-43.64,66903.66
52,1,0,-43.64,298629.03
53,1,0,-43.64,68683.64
54,1,0,-43.64,294853.94
55,1,0,-43.64,70553.27
56,1,0,-43.64,293643.37
57,1,0,-43.64,69778.68
58,1,0,-43.64,288490.99
59,1,0,-43.64,68831.86
60,1,0,-43.64,295691.84
61,1,0,-43.64,70901.11
62,1,0,-43.64,287681.18
63,1,0,-43.64,68445.36
64,1,0,-43.64,293170.61
65,1,0,-43.64,70113.24
66,1,0,-43.64,296770.92
67,1,0,-45.64,68800.75
68,1,0,-45.64,290987.89
69,1,0,-42.64,69989.35
70,1,0,-42.64,275010.21
71,1,0,-42.64,68853.43
72,1,0,-42.64,278045.21
73,1,0,-42.64,70648.46
74,1,0,-42.64,282765.82
75,1,0,-42.64,68445.98
76,1,0,-42.64,275509.07
77,1,0,-42.64,69270.67
78,1,0,-42.64,293700.6
79,1,0,-42.64,69869.47
80,1,0,-42.64,281793.88
81,1,0,-42.64,70761.35
82,1,0,-42.64,283747.76
83,1,0,-42.64,67242.23
84,1,0,-42.64,295721.62
85,1,0,-42.64,67110.26
86,1,0,-42.64,290778.77
87,1,0,-42.64,69169.34
88,1,0,-42.64,295128.68
89,1,0,-42.64,69491.4
90,1,0,-42.64,277081.06
91,1,0,-42.64,70465.9
92,1,0,-45.64,296700.97
93,1,0,-45.64,68441.75
94,1,0,-45.64,294750.56
95,1,0,-45.64,69952.22
96,1,0,-45.64,299880.65
97,1,0,-45.64,68735.18
98,1,0,-45.64,278133.32
99,1,0,-45.64,68855.29
100,1,0,-43.64,290928.15
101,1,0,-43.64,71012.06
102,1,0,-43.64,287313.59
103,1,0,-43.64,68011.86
104,1,0,-43.64,286517.85
