time_s,tx_node,rx_node,rx_power_dbm,throughput_kbps
1,1,0,-18.64,109138.96
2,1,0,-18.64,248823.22
3,1,0,-18.64,109462.14
4,1,0,-18.64,291627.38
5,1,0,-18.64,106900.19
6,1,0,-18.64,268488.25
7,1,0,-18.64,109900.51
8,1,0,-18.64,289975.26
9,1,0,-18.64,107797.19
10,1,0,-18.64,273385.61
11,1,0,-18.64,108864.16
12,1,0,-18.64,267593.63
13,1,0,-18.64,108217.76
14,1,0,-18.64,273148.75
15,1,0,-18.64,108770.16
16,1,0,-18.64,284008.81
17,1,0,-18.64,107600.47
18,1,0,-18.64,288483.14
19,1,0,-18.64,109292.23
20,1,0,-18.64,281935.91
21,1,0,-18.64,108619.27
22,1,0,-18.64,275184.64
23,1,0,-18.64,108269.59
24,1,0,-18.64,264975.03
25,1,0,-18.64,108931.69
26,1,0,-18.64,274453.93
27,1,0,-18.64,107998.52
28,1,0,-18.64,260403.96
29,1,0,-18.64,108873.52
30,1,0,-18.64,267984.47
31,1,0,-18.64,108273.13
32,1,0,-18.64,261337.42
33,1,0,-18.64,107902.98
34,1,0,-18.64,266630.14
35,1,0,-18.64,108685.29
36,1,0,-18.64,284579.86
37,1,0,-18.64,109156.41
38,1,0,-18.64,279856.42
39,1,0,-18.64,107709.95
40,1,0,-18.64,280382.33
41,1,0,-18.64,108971.12
42,1,0,-18.64,283217.36
43,1,0,-18.64,109415.56
44,1,0,-18.64,272881.07
45,1,0,-18.64,108066.9
46,1,0,-18.64,274885.26
47,1,0,-18.64,107710.91
48,1,0,-18.64,272760.52
49,1,0,-18.64,109964.0
50,1,0,-18.64,276231.04
51,1,0,-18.64,107837.42
52,1,0,-18.64,263198.5
53,1,0,-18.64,108880.06
54,1,0,-18.64,276042.5
55,1,0,-18.64,108214.77
56,1,0,-18.64,268178.34
57,1,0,-18.64,108199.08
58,1,0,-18.64,263903.33
59,1,0,-18.64,109566.75
60,1,0,-18.64,271960.26
61,1,0,-18.64,108429.6
62,1,0,-18.64,282914.78
63,1,0,-18.64,107233.59
64,1,0,-18.64,288818.83
65,1,0,-18.64,109958.06
66,1,0,-18.64,271703.37
67,1,0,-18.64,107838.38
68,1,0,-18.64,279696.03
69,1,0,-18.64,108293.86
70,1,0,-18.64,275580.77
71,1,0,-18.64,109609.45
72,1,0,-18.64,270012.22
73,1,0,-18.64,107561.12
74,1,0,-18.64,265936.9
75,1,0,-18.64,108159.55
76,1,0,-18.64,272636.97
77,1,0,-18.64,109664.94
78,1,0,-18.64,264360.44
79,1,0,-18.64,107370.92
80,1,0,-18.64,273661.83
81,1,0,-18.64,108749.32
82,1,0,-18.64,260630.28
83,1,0,-18.64,109238.31
84,1,0,-18.64,275834.83
85,1,0,-18.64,107673.18
86,1,0,-18.64,275094.88
87,1,0,-18.64,109282.17
88,1,0,-18.64,275616.19
89,1,0,-18.64,108466.99
90,1,0,-18.64,277691.89
91,1,0,-18.64,108778.75
92,1,0,-18.64,264587.03
93,1,0,-18.64,109068.83
94,1,0,-18.64,261381.03
95,1,0,-18.64,106723.82
96,1,0,-18.64,258502.82
97,1,0,-18.64,109623.44
98,1,0,-18.64,271787.77
99,1,0,-18.64,108856.2
