time_s,tx_node,rx_node,rx_power_dbm,throughput_kbps
1,1,0,-35.64,293177.4
2,1,0,-42.64,282011.04
3,1,0,-42.64,302724.8
4,1,0,-42.64,285140.53
5,1,0,-42.64,303108.13
6,1,0,-42.64,290661.74
7,1,0,-42.64,292888.41
8,1,0,-42.64,294569.49
9,1,0,-42.64,294541.12
10,1,0,-42.64,285274.35
11,1,0,-42.64,299048.09
12,1,0,-42.64,281157.28
13,1,0,-42.64,290777.69
14,1,0,-42.64,290945.63
15,1,0,-42.64,281333.65
16,1,0,-45.64,284191.36
17,1,0,-45.64,283962.29
18,1,0,-45.64,287877.28
19,1,0,-45.64,284754.63
20,1,0,-45.64,294735.14
21,1,0,-45.64,282436.66
22,1,0,-45.64,292309.9
23,1,0,-45.64,286111.54
24,1,0,-43.64,275722.85
25,1,0,-43.64,275502.63
26,1,0,-43.64,298629.03
27,1,0,-43.64,294853.94
28,1,0,-43.64,293643.37
29,1,0,-43.64,288490.99
30,1,0,-43.64,295691.84
31,1,0,-43.64,287681.18
32,1,0,-43.64,293170.61
33,1,0,-43.64,296770.92
34,1,0,-43.64,290987.89
35,1,0,-43.64,275010.21
36,1,0,-43.64,278045.21
37,1,0,-43.64,282765.82
38,1,0,-43.64,275509.07
39,1,0,-43.64,293700.6
40,1,0,-43.64,281793.88
41,1,0,-43.64,283747.76
42,1,0,-43.64,295721.62
43,1,0,-43.64,290778.77
44,1,0,-43.64,295128.68
45,1,0,-43.64,277081.06
46,1,0,-43.64,296700.97
47,1,0,-43.64,294750.56
48,1,0,-43.64,299880.65
49,1,0,-43.64,278133.32
50,1,0,-43.64,290928.15
51,1,0,-43.64,287313.59
52,1,0,-43.64,286517.85
53,1,0,-43.64,284978.89
54,1,0,-43.64,282500.17
55,1,0,-43.64,285311.2
56,1,0,-43.64,294943.0
57,1,0,-43.64,286123.0
58,1,0,-43.64,287023.67
59,1,0,-43.64,298158.62
60,1,0,-43.64,293124.82
61,1,0,-43.64,294310.16
62,1,0,-43.64,279655.29
63,1,0,-43.64,273711.38
64,1,0,-43.64,300381.12
65,1,0,-43.64,286942.29
66,1,0,-43.64,288082.5
67,1,0,-45.64,284225.09
68,1,0,-45.64,287964.9
69,1,0,-42.64,287316.97
70,1,0,-42.64,289447.7
71,1,0,-42.64,286859.27
72,1,0,-42.64,287477.6
73,1,0,-42.64,292630.7
74,1,0,-42.64,287197.84
75,1,0,-42.64,296214.31
76,1,0,-42.64,283741.5
77,1,0,-42.64,282884.38
78,1,0,-42.64,281343.21
79,1,0,-42.64,284795.63
80,1,0,-42.64,287248.91
81,1,0,-42.64,276662.42
82,1,0,-42.64,294000.89
