time_s,tx_node,rx_node,rx_power_dbm,throughput_kbps
1,1,0,-20.64,109650.98
2,1,0,-20.64,107430.64
3,1,0,-20.64,109488.97
4,1,0,-20.64,107911.72
5,1,0,-20.64,108103.12
6,1,0,-20.64,108829.84
7,1,0,-20.64,108541.36
8,1,0,-20.64,109154.55
9,1,0,-20.64,107708.33
10,1,0,-20.64,108942.58
11,1,0,-20.64,109036.8
12,1,0,-20.64,108640.76
13,1,0,-20.64,107299.03
14,1,0,-20.64,108529.85
15,1,0,-20.64,109517.49
16,1,0,-20.64,107642.45
17,1,0,-20.64,109478.52
18,1,0,-20.64,107602.97
19,1,0,-20.64,108886.37
20,1,0,-20.64,108764.04
21,1,0,-20.64,108657.19
22,1,0,-20.64,109505.5
23,1,0,-20.64,108304.03
24,1,0,-20.64,107751.89
25,1,0,-20.64,108650.3
26,1,0,-20.64,108865.56
27,1,0,-20.64,107711.24
28,1,0,-20.64,108350.75
29,1,0,-20.64,108728.01
30,1,0,-20.64,107969.53
31,1,0,-20.64,110059.97
32,1,0,-20.64,108216.14
33,1,0,-20.64,107921.2
34,1,0,-20.64,109132.99
35,1,0,-20.64,107592.08
36,1,0,-20.64,108129.36
37,1,0,-20.64,109317.63
38,1,0,-20.64,108292.34
39,1,0,-20.64,108894.21
40,1,0,-20.64,108665.15
41,1,0,-20.64,108775.28
42,1,0,-20.64,107011.13
43,1,0,-20.64,108290.05
44,1,0,-20.64,109606.93
45,1,0,-20.64,108726.36
46,1,0,-20.64,108950.86
47,1,0,-20.64,107731.29
48,1,0,-20.64,108411.66
49,1,0,-20.64,108582.58
50,1,0,-20.64,108264.33
51,1,0,-20.64,110191.46
52,1,0,-20.64,108215.64
53,1,0,-20.64,107848.2
54,1,0,-20.64,109698.99
55,1,0,-20.64,107710.81
56,1,0,-20.64,108808.71
57,1,0,-20.64,108045.76
58,1,0,-20.64,108118.44
59,1,0,-20.64,109698.61
60,1,0,-20.64,108678.3
61,1,0,-20.64,108754.27
62,1,0,-20.64,108543.35
63,1,0,-20.64,107476.89
64,1,0,-20.64,109489.51
65,1,0,-20.64,108659.58
66,1,0,-20.64,107782.2
67,1,0,-20.64,109062.17
68,1,0,-20.64,108540.86
69,1,0,-20.64,107945.36
70,1,0,-20.64,109728.3
71,1,0,-20.64,108186.82
72,1,0,-20.64,107523.04
73,1,0,-20.64,109677.59
74,1,0,-20.64,107828.14
75,1,0,-20.64,108187.58
76,1,0,-20.64,108301.98
77,1,0,-20.64,109057.42
78,1,0,-20.64,108257.19
79,1,0,-20.64,108517.72
80,1,0,-20.64,108012.98
81,1,0,-20.64,108952.17
82,1,0,-20.64,108448.07
83,1,0,-20.64,108528.7
84,1,0,-20.64,108554.2
85,1,0,-20.64,108301.93
86,1,0,-20.64,109627.43
87,1,0,-20.64,108324.74
88,1,0,-20.64,108065.06
89,1,0,-20.64,109570.86
90,1,0,-20.64,108557.61
91,1,0,-20.64,107376.4
92,1,0,-20.64,108857.08
93,1,0,-20.64,109714.63
94,1,0,-20.64,108435.01
95,1,0,-20.64,108303.43
96,1,0,-20.64,108898.8
97,1,0,-20.64,107341.31
98,1,0,-20.64,109468.16
99,1,0,-20.64,107681.37
100,1,0,-20.64,108299.0
101,1,0,-20.64,108981.79
102,1,0,-20.64,108761.11
103,1,0,-20.64,108871.88
104,1,0,-20.64,108092.01
105,1,0,-20.64,109228.65
106,1,0,-20.64,108634.02
107,1,0,-20.64,108353.35
108,1,0,-20.64,107555.29
109,1,0,-20.64,109025.88
110,1,0,-20.64,108566.48
111,1,0,-20.64,109134.63
112,1,0,-20.64,107729.88
113,1,0,-20.64,109471.61
114,1,0,-20.64,108540.42
115,1,0,-20.64,107829.43
116,1,0,-20.64,109133.75
117,1,0,-20.64,108040.92
118,1,0,-20.64,108553.92
119,1,0,-20.64,108553.95
120,1,0,-20.64,109799.48
121,1,0,-20.64,108467.68
122,1,0,-20.64,107827.06
123,1,0,-20.64,108306.7
124,1,0,-20.64,108025.92
125,1,0,-20.64,109150.87
126,1,0,-20.64,108561.04
127,1,0,-20.64,108663.72
128,1,0,-20.64,108138.2
129,1,0,-20.64,108951.84
130,1,0,-20.64,109125.9
131,1,0,-20.64,107473.02
132,1,0,-20.64,109452.18
133,1,0,-20.64,108474.2
134,1,0,-20.64,107810.67
135,1,0,-20.64,108781.69
136,1,0,-20.64,109372.75
137,1,0,-20.64,107565.32
138,1,0,-20.64,108566.36
139,1,0,-20.64,108542.48
140,1,0,-20.64,108338.67
141,1,0,-20.64,108909.7
142,1,0,-20.64,108372.85
143,1,0,-20.64,109371.11
144,1,0,-20.64,108873.19
145,1,0,-20.64,106738.27
146,1,0,-20.64,110066.39
147,1,0,-20.64,107625.83
148,1,0,-20.64,108694.79
149,1,0,-20.64,109133.1
150,1,0,-20.64,107840.0
151,1,0,-20.64,109026.8
152,1,0,-20.64,108795.76
153,1,0,-20.64,108148.95
154,1,0,-20.64,108263.61
155,1,0,-20.64,108576.57
156,1,0,-20.64,109771.34
157,1,0,-20.64,108733.88
158,1,0,-20.64,107356.54
159,1,0,-20.64,109434.88
160,1,0,-20.64,108716.02
161,1,0,-20.64,108075.33
162,1,0,-20.64,108056.74
163,1,0,-20.64,108654.12
164,1,0,-20.64,109852.21
165,1,0,-20.64,107500.97
166,1,0,-20.64,108485.72
167,1,0,-20.64,108332.53
168,1,0,-20.64,109065.35
169,1,0,-20.64,108133.2
170,1,0,-20.64,108026.68
171,1,0,-20.64,108697.07
172,1,0,-20.64,109271.47
173,1,0,-20.64,108995.95
174,1,0,-20.64,108295.15
175,1,0,-20.64,108785.16
176,1,0,-20.64,108072.49
177,1,0,-20.64,109132.44
178,1,0,-20.64,108066.79
179,1,0,-20.64,108694.76
180,1,0,-20.64,108386.95
181,1,0,-20.64,108529.89
182,1,0,-20.64,108312.38
183,1,0,-20.64,109610.66
184,1,0,-20.64,108062.71
185,1,0,-20.64,108651.62
186,1,0,-20.64,108163.95
187,1,0,-20.64,107862.75
188,1,0,-20.64,109280.06
189,1,0,-20.64,108512.02
190,1,0,-20.64,108182.5
191,1,0,-20.64,109415.28
192,1,0,-20.64,107346.19
193,1,0,-20.64,109577.69
194,1,0,-20.64,108829.84
195,1,0,-20.64,107663.68
196,1,0,-20.64,108771.69
197,1,0,-20.64,108174.44
198,1,0,-20.64,108545.81
199,1,0,-20.64,108533.59
200,1,0,-20.64,109013.51
201,1,0,-20.64,108320.62
202,1,0,-20.64,108898.47
203,1,0,-20.64,108535.75
204,1,0,-20.64,108865.67
205,1,0,-20.64,107365.5
206,1,0,-20.64,109597.35
207,1,0,-20.64,107983.2
208,1,0,-20.64,109660.05
209,1,0,-20.64,107186.85
210,1,0,-20.64,109162.2
211,1,0,-20.64,108274.13
212,1,0,-20.64,108302.63
213,1,0,-20.64,109194.12
214,1,0,-20.64,108782.23
215,1,0,-20.64,108582.58
216,1,0,-20.64,108841.39
217,1,0,-20.64,108101.19
218,1,0,-20.64,108812.32
219,1,0,-20.64,107875.91
220,1,0,-20.64,108222.85
221,1,0,-20.64,109529.3
222,1,0,-20.64,108350.74
223,1,0,-20.64,109319.81
224,1,0,-20.64,108258.34
225,1,0,-20.64,107914.52
226,1,0,-20.64,108976.67
227,1,0,-20.64,107829.22
228,1,0,-20.64,109238.45
229,1,0,-20.64,107667.17
230,1,0,-20.64,109665.53
231,1,0,-20.64,107948.92
232,1,0,-20.64,109490.28
233,1,0,-20.64,107877.64
234,1,0,-20.64,109309.39
235,1,0,-20.64,107235.12
236,1,0,-20.64,109147.24
237,1,0,-20.64,108304.36
238,1,0,-20.64,108107.46
239,1,0,-20.64,109804.58
240,1,0,-20.64,108709.57
241,1,0,-20.64,108371.5
242,1,0,-20.64,107363.53
243,1,0,-20.64,109480.87
244,1,0,-20.64,108660.45
245,1,0,-20.64,108776.25
246,1,0,-20.64,108049.18
247,1,0,-20.64,109389.71
248,1,0,-20.64,107666.25
249,1,0,-20.64,109178.72
250,1,0,-20.64,108723.29
251,1,0,-20.64,108602.74
252,1,0,-20.64,108534.56
253,1,0,-20.64,107350.59
254,1,0,-20.64,108378.98
255,1,0,-20.64,108910.23
256,1,0,-20.64,109016.65
257,1,0,-20.64,108659.01
258,1,0,-20.64,109286.77
259,1,0,-20.64,107709.95
260,1,0,-20.64,109315.15
261,1,0,-20.64,107279.01
262,1,0,-20.64,108434.04
