x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,loss_db,throughput_kbps
0.0,0,25.0,183.5,0,1.5,85.64,59432.62
0.0,0,25.0,183.5,0,1.5,85.64,371312.47
0.0,0,25.0,183.5,0,1.5,85.64,459960.5
0.0,0,25.0,183.5,0,1.5,85.64,457719.5
0.0,0,25.0,183.5,0,1.5,85.64,463160.69
0.0,0,25.0,183.5,0,1.5,85.64,460271.47
0.0,0,25.0,183.5,0,1.5,85.64,460148.01
0.0,0,25.0,183.5,0,1.5,85.64,460268.23
0.0,0,25.0,183.5,0,1.5,85.64,460235.68
0.0,0,25.0,183.5,0,1.5,85.64,460122.06
0.0,0,25.0,183.5,0,1.5,85.64,440255.17
0.0,0,25.0,183.5,0,1.5,85.64,463295.51
0.0,0,25.0,183.5,0,1.5,85.64,459152.45
0.0,0,25.0,183.5,0,1.5,85.64,458727.57
0.0,0,25.0,183.5,0,1.5,85.64,462872.73
0.0,0,25.0,183.5,0,1.5,85.64,458301.37
0.0,0,25.0,183.5,0,1.5,85.64,462173.15
0.0,0,25.0,183.5,0,1.5,85.64,460214.31
0.0,0,25.0,183.5,0,1.5,85.64,460216.12
0.0,0,25.0,183.5,0,1.5,85.64,458784.87
0.0,0,25.0,183.5,0,1.5,85.64,458367.75
0.0,0,25.0,183.5,0,1.5,85.64,463285.22
0.0,0,25.0,183.5,0,1.5,85.64,460283.62
0.0,0,25.0,183.5,0,1.5,85.64,458571.22
0.0,0,25.0,183.5,0,1.5,85.64,460938.3
0.0,0,25.0,183.5,0,1.5,85.64,461120.16
0.0,0,25.0,183.5,0,1.5,85.64,460545.37
0.0,0,25.0,183.5,0,1.5,85.64,458709.84
0.0,0,25.0,183.5,0,1.5,85.64,461742.99
0.0,0,25.0,183.5,0,1.5,85.64,456848.1
0.0,0,25.0,183.5,0,1.5,85.64,463504.03
0.0,0,25.0,183.5,0,1.5,85.64,457761.26
0.0,0,25.0,183.5,0,1.5,85.64,459938.5
0.0,0,25.0,183.5,0,1.5,85.64,463062.51
0.0,0,25.0,183.5,0,1.5,85.64,460240.87
0.0,0,25.0,183.5,0,1.5,85.64,457136.71
0.0,0,25.0,183.5,0,1.5,85.64,463322.0
0.0,0,25.0,183.5,0,1.5,85.64,460096.12
0.0,0,25.0,183.5,0,1.5,85.64,460164.53
0.0,0,25.0,183.5,0,1.5,85.64,458882.6
0.0,0,25.0,183.5,0,1.5,85.64,461094.53
0.0,0,25.0,183.5,0,1.5,85.64,460493.26
0.0,0,25.0,183.5,0,1.5,85.64,460121.86
0.0,0,25.0,183.5,0,1.5,85.64,457282.12
0.0,0,25.0,183.5,0,1.5,85.64,460579.69
0.0,0,25.0,183.5,0,1.5,85.64,460338.25
0.0,0,25.0,183.5,0,1.5,85.64,462638.98
0.0,0,25.0,183.5,0,1.5,85.64,460223.06
0.0,0,25.0,183.5,0,1.5,85.64,460159.02
0.0,0,25.0,183.5,0,1.5,85.64,459935.3
0.0,0,25.0,183.5,0,1.5,85.64,457361.44
0.0,0,25.0,183.5,0,1.5,85.64,463389.09
0.0,0,25.0,183.5,0,1.5,85.64,456931.05
0.0,0,25.0,183.5,0,1.5,85.64,463428.48
0.0,0,25.0,183.5,0,1.5,85.64,460284.06
0.0,0,25.0,183.5,0,1.5,85.64,459139.58
0.0,0,25.0,183.5,0,1.5,85.64,460389.59
0.0,0,25.0,183.5,0,1.5,85.64,452478.83
0.0,0,25.0,183.5,0,1.5,85.64,460513.08
0.0,0,25.0,183.5,0,1.5,85.64,459753.9
0.0,0,25.0,183.5,0,1.5,85.64,463424.49
0.0,0,25.0,183.5,0,1.5,85.64,460175.78
0.0,0,25.0,183.5,0,1.5,85.64,460368.52
0.0,0,25.0,183.5,0,1.5,85.64,460250.34
0.0,0,25.0,183.5,0,1.5,85.64,458935.62
0.0,0,25.0,183.5,0,1.5,85.64,461317.02
0.0,0,25.0,183.5,0,1.5,85.64,460269.6
0.0,0,25.0,183.5,0,1.5,85.64,458883.09
0.0,0,25.0,183.5,0,1.5,85.64,461628.98
0.0,0,25.0,183.5,0,1.5,85.64,457061.92
0.0,0,25.0,183.5,0,1.5,85.64,460200.17
0.0,0,25.0,183.5,0,1.5,85.64,463403.71
0.0,0,25.0,183.5,0,1.5,85.64,460232.2
