x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,loss_db,throughput_kbps
0.0,0,25.0,183.5,0,1.5,84.64,110085.28
0.0,0,25.0,183.5,0,1.5,84.64,70256.91
0.0,0,25.0,183.5,0,1.5,84.64,68157.44
0.0,0,25.0,183.5,0,1.5,84.64,68155.53
0.0,0,25.0,183.5,0,1.5,84.64,63963.84
0.0,0,25.0,183.5,0,1.5,84.64,70253.39
0.0,0,25.0,183.5,0,1.5,84.64,68158.33
0.0,0,25.0,183.5,0,1.5,84.64,68157.03
0.0,0,25.0,183.5,0,1.5,84.64,69205.32
0.0,0,25.0,183.5,0,1.5,84.64,68158.39
0.0,0,25.0,183.5,0,1.5,84.64,68157.51
0.0,0,25.0,183.5,0,1.5,84.64,68157.64
0.0,0,25.0,183.5,0,1.5,84.64,69205.88
0.0,0,25.0,183.5,0,1.5,84.64,68157.64
0.0,0,25.0,183.5,0,1.5,84.64,69205.74
0.0,0,25.0,183.5,0,1.5,84.64,69205.88
0.0,0,25.0,183.5,0,1.5,84.64,69206.09
0.0,0,25.0,183.5,0,1.5,84.64,68157.64
0.0,0,25.0,183.5,0,1.5,84.64,69206.09
0.0,0,25.0,183.5,0,1.5,84.64,69205.53
0.0,0,25.0,183.5,0,1.5,84.64,67109.0
0.0,0,25.0,183.5,0,1.5,84.64,70254.94
0.0,0,25.0,183.5,0,1.5,84.64,69205.74
0.0,0,25.0,183.5,0,1.5,84.64,68157.24
0.0,0,25.0,183.5,0,1.5,84.64,69195.15
0.0,0,25.0,183.5,0,1.5,84.64,67117.99
0.0,0,25.0,183.5,0,1.5,84.64,69208.09
0.0,0,25.0,183.5,0,1.5,84.64,69205.95
0.0,0,25.0,183.5,0,1.5,84.64,68156.9
0.0,0,25.0,183.5,0,1.5,84.64,69206.71
0.0,0,25.0,183.5,0,1.5,84.64,68156.35
0.0,0,25.0,183.5,0,1.5,84.64,69207.12
0.0,0,25.0,183.5,0,1.5,84.64,68115.07
0.0,0,25.0,183.5,0,1.5,84.64,69248.46
0.0,0,25.0,183.5,0,1.5,84.64,68157.51
0.0,0,25.0,183.5,0,1.5,84.64,69205.32
0.0,0,25.0,183.5,0,1.5,84.64,68158.12
0.0,0,25.0,183.5,0,1.5,84.64,69205.95
0.0,0,25.0,183.5,0,1.5,84.64,69207.33
0.0,0,25.0,183.5,0,1.5,84.64,69205.05
0.0,0,25.0,183.5,0,1.5,84.64,68157.58
0.0,0,25.0,183.5,0,1.5,84.64,67108.93
0.0,0,25.0,183.5,0,1.5,84.64,68156.83
0.0,0,25.0,183.5,0,1.5,84.64,69206.22
0.0,0,25.0,183.5,0,1.5,84.64,69206.5
0.0,0,25.0,183.5,0,1.5,84.64,69206.29
0.0,0,25.0,183.5,0,1.5,84.64,68161.53
0.0,0,25.0,183.5,0,1.5,84.64,67089.94
0.0,0,25.0,183.5,0,1.5,84.64,69220.69
0.0,0,25.0,183.5,0,1.5,84.64,68157.38
0.0,0,25.0,183.5,0,1.5,84.64,68157.92
0.0,0,25.0,183.5,0,1.5,84.64,69167.49
0.0,0,25.0,183.5,0,1.5,84.64,69244.59
0.0,0,25.0,183.5,0,1.5,84.64,69199.93
0.0,0,25.0,183.5,0,1.5,84.64,68162.96
0.0,0,25.0,183.5,0,1.5,84.64,68157.38
0.0,0,25.0,183.5,0,1.5,84.64,69204.36
0.0,0,25.0,183.5,0,1.5,84.64,69207.95
0.0,0,25.0,183.5,0,1.5,84.64,68157.85
0.0,0,25.0,183.5,0,1.5,84.64,68157.38
0.0,0,25.0,183.5,0,1.5,84.64,69205.81
0.0,0,25.0,183.5,0,1.5,84.64,68156.76
