time_s,tx_node,rx_node,rx_power_dbm,throughput_kbps
1,1,0,-44.64,110085.28
2,1,0,-44.64,70256.91
3,1,0,-44.64,68157.44
4,1,0,-44.64,68155.53
5,1,0,-44.64,63963.84
6,1,0,-44.64,70253.39
7,1,0,-44.64,68158.33
8,1,0,-44.64,68157.03
9,1,0,-44.64,69205.32
10,1,0,-44.64,68158.39
11,1,0,-44.64,68157.51
12,1,0,-44.64,68157.64
13,1,0,-44.64,69205.88
14,1,0,-44.64,68157.64
15,1,0,-44.64,69205.74
16,1,0,-44.64,69205.88
17,1,0,-44.64,69206.09
18,1,0,-44.64,68157.64
19,1,0,-44.64,69206.09
20,1,0,-44.64,69205.53
21,1,0,-44.64,67109.0
22,1,0,-44.64,70254.94
23,1,0,-44.64,69205.74
24,1,0,-44.64,68157.24
25,1,0,-44.64,69195.15
26,1,0,-44.64,67117.99
27,1,0,-44.64,69208.09
28,1,0,-44.64,69205.95
29,1,0,-44.64,68156.9
30,1,0,-44.64,69206.71
31,1,0,-44.64,68156.35
32,1,0,-44.64,69207.12
33,1,0,-44.64,68115.07
34,1,0,-44.64,69248.46
35,1,0,-44.64,68157.51
36,1,0,-44.64,69205.32
37,1,0,-44.64,68158.12
38,1,0,-44.64,69205.95
39,1,0,-44.64,69207.33
40,1,0,-44.64,69205.05
41,1,0,-44.64,68157.58
42,1,0,-44.64,67108.93
43,1,0,-44.64,68156.83
44,1,0,-44.64,69206.22
45,1,0,-44.64,69206.5
46,1,0,-44.64,69206.29
47,1,0,-44.64,68161.53
48,1,0,-44.64,67089.94
49,1,0,-44.64,69220.69
50,1,0,-44.64,68157.38
51,1,0,-44.64,68157.92
52,1,0,-44.64,69167.49
53,1,0,-44.64,69244.59
54,1,0,-44.64,69199.93
55,1,0,-44.64,68162.96
56,1,0,-44.64,68157.38
57,1,0,-44.64,69204.36
58,1,0,-44.64,69207.95
59,1,0,-44.64,68157.85
60,1,0,-44.64,68157.38
61,1,0,-44.64,69205.81
62,1,0,-44.64,68156.76
63,1,0,-44.64,69205.26
64,1,0,-44.64,68158.46
65,1,0,-44.64,69206.09
66,1,0,-44.64,68157.3
67,1,0,-44.64,68157.38
68,1,0,-44.64,69207.68
69,1,0,-44.64,68156.62
70,1,0,-44.64,68158.26
71,1,0,-44.64,69205.81
72,1,0,-44.64,69205.18
73,1,0,-44.64,68156.62
74,1,0,-44.64,69206.85
75,1,0,-44.64,69206.64
76,1,0,-44.64,69205.26
77,1,0,-44.64,68157.38
78,1,0,-44.64,68157.71
79,1,0,-44.64,68153.56
80,1,0,-44.64,68160.65
81,1,0,-44.64,67110.0
82,1,0,-44.64,69205.53
83,1,0,-44.64,69206.02
84,1,0,-44.64,67108.73
85,1,0,-44.64,68157.16
86,1,0,-44.64,68160.92
87,1,0,-44.64,69202.07
88,1,0,-44.64,68156.28
89,1,0,-44.64,69210.1
90,1,0,-44.64,67106.51
91,1,0,-44.64,68155.05
92,1,0,-44.64,68159.69
93,1,0,-44.64,69206.36
94,1,0,-44.64,68157.38
95,1,0,-44.64,69205.4
96,1,0,-44.64,67109.4
97,1,0,-44.64,69199.85
98,1,0,-44.64,68163.37
99,1,0,-44.64,68156.69
100,1,0,-44.64,67111.14
101,1,0,-44.64,69204.49
102,1,0,-44.64,69206.16
103,1,0,-44.64,68157.71
104,1,0,-44.64,68140.54
105,1,0,-44.64,69222.63
106,1,0,-44.64,68148.99
107,1,0,-44.64,68166.71
108,1,0,-44.64,68157.1
109,1,0,-44.64,67108.13
110,1,0,-44.64,69206.02
111,1,0,-44.64,67105.98
112,1,0,-44.64,69210.1
113,1,0,-44.64,69205.32
114,1,0,-44.64,68157.1
115,1,0,-44.64,68158.53
116,1,0,-44.64,68157.03
117,1,0,-44.64,67108.8
118,1,0,-44.64,68158.46
119,1,0,-44.64,68155.67
120,1,0,-44.64,69204.63
121,1,0,-44.64,67108.93
122,1,0,-44.64,69213.97
123,1,0,-44.64,68152.05
124,1,0,-44.64,68157.03
125,1,0,-44.64,69205.74
126,1,0,-44.64,68157.51
127,1,0,-44.64,68153.82
128,1,0,-44.64,68151.71
129,1,0,-44.64,69216.12
130,1,0,-44.64,68156.76
131,1,0,-44.64,68157.38
132,1,0,-44.64,68162.01
133,1,0,-44.64,69201.79
134,1,0,-44.64,68157.24
135,1,0,-44.64,68156.96
136,1,0,-44.64,69206.29
137,1,0,-44.64,68155.12
138,1,0,-44.64,69208.37
139,1,0,-44.64,67109.2
140,1,0,-44.64,69207.06
141,1,0,-44.64,68148.31
142,1,0,-44.64,67117.66
143,1,0,-44.64,70252.77
144,1,0,-44.64,68157.92
145,1,0,-44.64,68159.28
146,1,0,-44.64,69204.22
147,1,0,-44.64,68159.14
148,1,0,-44.64,69205.05
149,1,0,-44.64,68156.49
150,1,0,-44.64,69206.43
151,1,0,-44.64,68156.28
152,1,0,-44.64,68158.74
153,1,0,-44.64,68146.88
154,1,0,-44.64,67119.67
155,1,0,-44.64,67108.53
156,1,0,-44.64,69205.46
157,1,0,-44.64,68157.98
158,1,0,-44.64,68157.44
159,1,0,-44.64,68157.98
160,1,0,-44.64,67107.59
161,1,0,-44.64,68156.76
162,1,0,-44.64,69207.19
163,1,0,-44.64,68157.85
164,1,0,-44.64,68157.51
165,1,0,-44.64,69199.44
166,1,0,-44.64,68163.71
167,1,0,-44.64,68150.7
168,1,0,-44.64,69212.18
169,1,0,-44.64,67109.2
170,1,0,-44.64,68157.85
171,1,0,-44.64,67107.86
172,1,0,-44.64,69207.68
173,1,0,-44.64,68156.28
174,1,0,-44.64,68157.85
175,1,0,-44.64,68142.52
176,1,0,-44.64,68172.3
177,1,0,-44.64,68137.61
178,1,0,-44.64,68177.28
179,1,0,-44.64,67098.67
180,1,0,-44.64,68165.83
181,1,0,-44.64,68158.94
182,1,0,-44.64,67109.33
183,1,0,-44.64,68156.08
184,1,0,-44.64,68158.6
185,1,0,-44.64,69206.5
186,1,0,-44.64,69196.33
187,1,0,-44.64,68134.48
188,1,0,-44.64,68182.06
189,1,0,-44.64,68164.53
190,1,0,-44.64,68157.92
191,1,0,-44.64,68156.76
192,1,0,-44.64,68158.74
193,1,0,-44.64,68155.53
194,1,0,-44.64,68152.74
195,1,0,-44.64,67114.5
196,1,0,-44.64,68157.98
197,1,0,-44.64,68158.87
198,1,0,-44.64,68154.58
199,1,0,-44.64,68147.83
200,1,0,-44.64,67051.0
201,1,0,-44.64,69207.19
202,1,0,-44.64,68227.03
203,1,0,-44.64,68152.6
204,1,0,-44.64,69211.14
205,1,0,-44.64,67107.86
206,1,0,-44.64,68157.98
207,1,0,-44.64,69205.26
208,1,0,-44.64,68157.58
209,1,0,-44.64,69203.87
210,1,0,-44.64,67111.28
211,1,0,-44.64,68156.76
212,1,0,-44.64,69121.62
213,1,0,-44.64,68241.17
214,1,0,-44.64,69183.67
215,1,0,-44.64,68178.92
216,1,0,-44.64,67107.72
217,1,0,-44.64,68160.17
218,1,0,-44.64,68156.08
219,1,0,-44.64,68156.62
220,1,0,-44.64,67109.8
221,1,0,-44.64,68155.39
222,1,0,-44.64,69209.61
223,1,0,-44.64,68155.6
224,1,0,-44.64,68147.76
225,1,0,-44.64,68167.67
226,1,0,-44.64,68157.1
227,1,0,-44.64,68156.83
228,1,0,-44.64,68153.01
229,1,0,-44.64,68164.26
230,1,0,-44.64,65010.15
231,1,0,-44.64,51381.0
232,1,0,-44.64,66057.58
233,1,0,-44.64,70254.03
234,1,0,-44.64,67110.81
235,1,0,-44.64,69206.22
236,1,0,-44.64,67098.6
237,1,0,-44.64,67115.84
238,1,0,-44.64,68160.98
239,1,0,-44.64,68157.64
240,1,0,-44.64,66059.49
241,1,0,-44.64,69206.02
242,1,0,-44.64,66060.82
243,1,0,-44.64,69206.02
244,1,0,-44.64,68147.08
245,1,0,-44.64,69217.02
246,1,0,-44.64,68157.1
247,1,0,-44.64,67109.13
248,1,0,-44.64,69058.57
249,1,0,-44.64,67250.63
250,1,0,-44.64,69207.68
251,1,0,-44.64,67108.26
252,1,0,-44.64,68157.16
253,1,0,-44.64,67109.4
254,1,0,-44.64,69205.74
255,1,0,-44.64,66059.76
256,1,0,-44.64,61866.05
257,1,0,-44.64,69210.65
258,1,0,-44.64,68153.42
259,1,0,-44.64,68157.51
260,1,0,-44.64,69206.02
261,1,0,-44.64,67110.48
262,1,0,-44.64,67106.92
263,1,0,-44.64,68157.85
264,1,0,-44.64,68157.1
265,1,0,-44.64,69206.57
266,1,0,-44.64,68157.64
267,1,0,-44.64,68156.9
268,1,0,-44.64,68157.38
269,1,0,-44.64,69205.81
270,1,0,-44.64,69206.5
271,1,0,-44.64,67109.2
272,1,0,-44.64,68157.71
273,1,0,-44.64,67108.26
274,1,0,-44.64,68157.51
275,1,0,-44.64,68157.1
276,1,0,-44.64,56623.5
277,1,0,-44.64,70253.89
278,1,0,-44.64,67108.53
279,1,0,-44.64,69206.02
280,1,0,-44.64,68074.87
281,1,0,-44.64,67191.58
282,1,0,-44.64,67106.65
283,1,0,-44.64,68159.55
284,1,0,-44.64,68155.67
285,1,0,-44.64,68157.92
286,1,0,-44.64,68159.96
287,1,0,-44.64,68157.3
288,1,0,-44.64,66058.97
289,1,0,-44.64,69206.36
290,1,0,-44.64,68157.24
291,1,0,-44.64,68159.42
292,1,0,-44.64,67106.51
293,1,0,-44.64,68158.46
294,1,0,-44.64,67091.56
295,1,0,-44.64,67121.95
296,1,0,-44.64,67110.94
297,1,0,-44.64,69206.09
298,1,0,-44.64,67110.27
299,1,0,-44.64,68157.3
300,1,0,-44.64,68157.1
301,1,0,-44.64,67110.0
302,1,0,-44.64,67107.93
303,1,0,-44.64,69205.95
304,1,0,-44.64,68158.05
305,1,0,-44.64,67108.8
306,1,0,-44.64,68147.69
307,1,0,-44.64,67118.93
308,1,0,-44.64,69205.32
309,1,0,-44.64,66060.62
310,1,0,-44.64,69205.81
311,1,0,-44.64,66059.96
312,1,0,-44.64,66060.55
313,1,0,-44.64,68155.73
314,1,0,-44.64,69211.76
315,1,0,-44.64,68103.36
316,1,0,-44.64,69256.99
317,1,0,-44.64,67108.53
318,1,0,-44.64,68157.24
319,1,0,-44.64,67109.4
320,1,0,-44.64,68156.96
321,1,0,-44.64,69207.06
322,1,0,-44.64,68157.98
323,1,0,-44.64,69204.42
324,1,0,-44.64,67109.27
325,1,0,-44.64,66060.09
326,1,0,-44.64,65011.58
327,1,0,-44.64,68157.78
328,1,0,-44.64,66061.15
329,1,0,-44.64,68156.55
330,1,0,-44.64,66060.35
331,1,0,-44.64,67109.06
332,1,0,-44.64,69211.76
333,1,0,-44.64,67102.96
334,1,0,-44.64,67109.47
335,1,0,-44.64,66060.82
336,1,0,-44.64,66059.3
337,1,0,-44.64,66059.82
338,1,0,-44.64,68157.58
339,1,0,-44.64,68157.98
340,1,0,-44.64,67097.12
341,1,0,-44.64,63973.89
342,1,0,-44.64,68092.07
343,1,0,-44.64,68222.18
344,1,0,-44.64,67109.6
345,1,0,-44.64,68155.53
346,1,0,-44.64,69208.3
347,1,0,-44.64,69205.4
348,1,0,-44.64,68158.33
349,1,0,-44.64,69205.6
350,1,0,-44.64,69206.57
351,1,0,-44.64,68155.94
352,1,0,-44.64,68153.42
353,1,0,-44.64,70259.86
354,1,0,-44.64,67108.13
355,1,0,-44.64,69206.36
356,1,0,-44.64,68157.71
357,1,0,-44.64,68155.73
358,1,0,-44.64,68159.01
359,1,0,-44.64,69205.95
360,1,0,-44.64,69205.95
361,1,0,-44.64,68157.51
362,1,0,-44.64,68157.16
363,1,0,-44.64,68130.87
364,1,0,-44.64,68184.78
365,1,0,-44.64,67108.39
366,1,0,-44.64,68157.78
367,1,0,-44.64,68157.1
368,1,0,-44.64,69206.16
369,1,0,-44.64,68157.78
370,1,0,-44.64,69206.09
371,1,0,-44.64,69205.95
372,1,0,-44.64,68157.92
373,1,0,-44.64,68157.24
374,1,0,-44.64,68157.1
375,1,0,-44.64,67108.26
376,1,0,-44.64,67109.13
377,1,0,-44.64,69204.98
378,1,0,-44.64,68158.81
379,1,0,-44.64,68158.26
380,1,0,-44.64,67107.72
381,1,0,-44.64,68157.92
382,1,0,-44.64,69204.63
383,1,0,-44.64,67111.08
384,1,0,-44.64,68155.67
385,1,0,-44.64,69206.29
386,1,0,-44.64,69206.43
387,1,0,-44.64,66059.82
388,1,0,-44.64,70254.66
389,1,0,-44.64,68157.44
390,1,0,-44.64,68158.12
391,1,0,-44.64,66059.63
392,1,0,-44.64,69205.4
393,1,0,-44.64,68160.24
394,1,0,-44.64,68155.12
395,1,0,-44.64,68157.85
396,1,0,-44.64,67109.06
397,1,0,-44.64,69206.29
398,1,0,-44.64,66050.05
399,1,0,-44.64,70261.06
400,1,0,-44.64,65014.9
401,1,0,-44.64,68157.71
402,1,0,-44.64,67110.34
403,1,0,-44.64,67107.93
404,1,0,-44.64,68156.96
405,1,0,-44.64,66060.55
406,1,0,-44.64,68157.1
407,1,0,-44.64,68156.69
408,1,0,-44.64,67096.85
409,1,0,-44.64,66071.19
410,1,0,-44.64,70254.38
411,1,0,-44.64,69209.55
412,1,0,-44.64,68155.87
413,1,0,-44.64,68157.78
414,1,0,-44.64,68151.1
415,1,0,-44.64,68164.87
416,1,0,-44.64,69204.7
417,1,0,-44.64,67109.06
418,1,0,-44.64,67107.86
419,1,0,-44.64,69206.85
420,1,0,-44.64,69206.09
421,1,0,-44.64,68148.58
422,1,0,-44.64,68166.23
423,1,0,-44.64,69206.64
424,1,0,-44.64,69205.4
425,1,0,-44.64,68156.62
426,1,0,-44.64,67109.13
427,1,0,-44.64,70255.3
428,1,0,-44.64,69205.6
429,1,0,-44.64,68158.33
430,1,0,-44.64,63962.18
431,1,0,-44.64,70252.77
432,1,0,-44.64,68160.24
433,1,0,-44.64,69206.92
434,1,0,-44.64,68156.08
435,1,0,-44.64,67108.86
436,1,0,-44.64,68157.71
437,1,0,-44.64,69205.53
438,1,0,-44.64,69205.12
439,1,0,-44.64,68157.38
440,1,0,-44.64,68158.19
441,1,0,-44.64,69205.88
442,1,0,-44.64,68158.46
443,1,0,-44.64,68156.21
444,1,0,-44.64,69201.52
445,1,0,-44.64,67113.76
446,1,0,-44.64,69205.81
447,1,0,-44.64,69204.56
448,1,0,-44.64,68157.1
449,1,0,-44.64,69204.49
450,1,0,-44.64,69208.99
451,1,0,-44.64,69206.92
