x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,loss_db,throughput_kbps
0.0,0,25.0,18.65,0,1.5,58.64,145346.64
0.0,0,25.0,18.65,0,1.5,58.64,380873.82
0.0,0,25.0,18.65,0,1.5,58.64,394883.75
0.0,0,25.0,18.65,0,1.5,58.64,405012.29
0.0,0,25.0,18.65,0,1.5,58.64,405201.0
0.0,0,25.0,18.65,0,1.5,58.64,404605.26
0.0,0,25.0,18.65,0,1.5,58.64,404828.62
0.0,0,25.0,18.65,0,1.5,58.64,405030.83
0.0,0,25.0,18.65,0,1.5,58.64,404193.17
0.0,0,25.0,18.65,0,1.5,58.64,404494.49
0.0,0,25.0,18.65,0,1.5,58.64,406006.05
0.0,0,25.0,18.65,0,1.5,58.64,404676.9
0.0,0,25.0,18.65,0,1.5,58.64,404466.35
0.0,0,25.0,18.65,0,1.5,58.64,402677.55
0.0,0,25.0,18.65,0,1.5,58.64,405752.7
0.0,0,25.0,18.65,0,1.5,58.64,406292.45
0.0,0,25.0,18.65,0,1.5,58.64,405193.85
0.0,0,25.0,18.65,0,1.5,58.64,404315.8
0.0,0,25.0,18.65,0,1.5,58.64,404941.75
0.0,0,25.0,18.65,0,1.5,58.64,405460.7
0.0,0,25.0,18.65,0,1.5,58.64,404602.67
0.0,0,25.0,18.65,0,1.5,58.64,404830.07
0.0,0,25.0,18.65,0,1.5,58.64,405120.12
0.0,0,25.0,18.65,0,1.5,58.64,404649.01
0.0,0,25.0,18.65,0,1.5,58.64,404953.32
0.0,0,25.0,18.65,0,1.5,58.64,404851.23
0.0,0,25.0,18.65,0,1.5,58.64,404791.6
0.0,0,25.0,18.65,0,1.5,58.64,404799.01
0.0,0,25.0,18.65,0,1.5,58.64,405984.52
0.0,0,25.0,18.65,0,1.5,58.64,404071.77
0.0,0,25.0,18.65,0,1.5,58.64,407286.43
0.0,0,25.0,18.65,0,1.5,58.64,406799.25
0.0,0,25.0,18.65,0,1.5,58.64,406222.28
0.0,0,25.0,18.65,0,1.5,58.64,403133.94
0.0,0,25.0,18.65,0,1.5,58.64,406356.56
0.0,0,25.0,18.65,0,1.5,58.64,405342.64
0.0,0,25.0,18.65,0,1.5,58.64,405433.0
0.0,0,25.0,18.65,0,1.5,58.64,405375.03
0.0,0,25.0,18.65,0,1.5,58.64,405418.37
0.0,0,25.0,18.65,0,1.5,58.64,405495.03
0.0,0,25.0,18.65,0,1.5,58.64,405648.63
0.0,0,25.0,18.65,0,1.5,58.64,403322.49
0.0,0,25.0,18.65,0,1.5,58.64,406604.0
0.0,0,25.0,18.65,0,1.5,58.64,406200.94
0.0,0,25.0,18.65,0,1.5,58.64,407628.78
0.0,0,25.0,18.65,0,1.5,58.64,404623.12
0.0,0,25.0,18.65,0,1.5,58.64,404535.74
0.0,0,25.0,18.65,0,1.5,58.64,404641.95
0.0,0,25.0,18.65,0,1.5,58.64,404565.13
0.0,0,25.0,18.65,0,1.5,58.64,404647.89
0.0,0,25.0,18.65,0,1.5,58.64,405369.74
0.0,0,25.0,18.65,0,1.5,58.64,404718.53
0.0,0,25.0,18.65,0,1.5,58.64,404957.76
0.0,0,25.0,18.65,0,1.5,58.64,405059.67
0.0,0,25.0,18.65,0,1.5,58.64,405954.96
0.0,0,25.0,18.65,0,1.5,58.64,409185.85
0.0,0,25.0,18.65,0,1.5,58.64,408070.78
0.0,0,25.0,18.65,0,1.5,58.64,404278.3
0.0,0,25.0,18.65,0,1.5,58.64,404616.0
0.0,0,25.0,18.65,0,1.5,58.64,407170.85
0.0,0,25.0,18.65,0,1.5,58.64,405215.85
0.0,0,25.0,18.65,0,1.5,58.64,404830.74
0.0,0,25.0,18.65,0,1.5,58.64,402473.59
0.0,0,25.0,18.65,0,1.5,58.64,407762.09
0.0,0,25.0,18.65,0,1.5,58.64,402725.86
0.0,0,25.0,18.65,0,1.5,58.64,403862.78
0.0,0,25.0,18.65,0,1.5,58.64,408369.37
0.0,0,25.0,18.65,0,1.5,58.64,405615.17
0.0,0,25.0,18.65,0,1.5,58.64,405280.91
0.0,0,25.0,18.65,0,1.5,58.64,387624.34
0.0,0,25.0,18.65,0,1.5,58.64,381729.94
0.0,0,25.0,18.65,0,1.5,58.64,391949.97
0.0,0,25.0,18.65,0,1.5,58.64,393725.75
0.0,0,25.0,18.65,0,1.5,58.64,398327.54
0.0,0,25.0,18.65,0,1.5,58.64,399810.15
0.0,0,25.0,18.65,0,1.5,58.64,399334.27
0.0,0,25.0,18.65,0,1.5,58.64,398321.78
0.0,0,25.0,18.65,0,1.5,58.64,401503.53
0.0,0,25.0,18.65,0,1.5,58.64,405886.77
0.0,0,25.0,18.65,0,1.5,58.64,405260.4
0.0,0,25.0,18.65,0,1.5,58.64,403817.76
0.0,0,25.0,18.65,0,1.5,58.64,403317.44
0.0,0,25.0,18.65,0,1.5,58.64,406677.1
0.0,0,25.0,18.65,0,1.5,58.64,403325.67
0.0,0,25.0,18.65,0,1.5,58.64,406350.24
0.0,0,25.0,18.65,0,1.5,58.64,404844.97
0.0,0,25.0,18.65,0,1.5,58.64,405189.44
0.0,0,25.0,18.65,0,1.5,58.64,402544.86
0.0,0,25.0,18.65,0,1.5,58.64,405103.66
0.0,0,25.0,18.65,0,1.5,58.64,404869.24
0.0,0,25.0,18.65,0,1.5,58.64,404884.91
0.0,0,25.0,18.65,0,1.5,58.64,405034.49
0.0,0,25.0,18.65,0,1.5,58.64,405033.68
0.0,0,25.0,18.65,0,1.5,58.64,405122.43
0.0,0,25.0,18.65,0,1.5,58.64,404790.78
0.0,0,25.0,18.65,0,1.5,58.64,404812.38
0.0,0,25.0,18.65,0,1.5,58.64,404389.61
0.0,0,25.0,18.65,0,1.5,58.64,405621.02
