file_name,device_serial,host_ip,iteration,mBands,ssRsrp,ssRsrq,ssSinr,level,mean_ssRsrp,mean_ssRsrq,mean_ssSinr
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,1,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,2,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,3,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,4,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,5,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,6,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,7,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,8,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,9,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,10,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,11,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,12,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,13,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,14,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,15,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,16,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,17,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,18,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,19,78,-54,-11,32,4,-54,-11,32
cell_info-reverse-20250222-060001.json,A75259FRCN9A2DV0538,10.11.32.205,20,78,-54,-11,32,4,-54,-11,32
