x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,loss_db,throughput_kbps
0.0,0,25.0,18.65,0,1.5,58.64,248823.22
0.0,0,25.0,18.65,0,1.5,58.64,291627.38
0.0,0,25.0,18.65,0,1.5,58.64,268488.25
0.0,0,25.0,18.65,0,1.5,58.64,289975.26
0.0,0,25.0,18.65,0,1.5,58.64,273385.61
0.0,0,25.0,18.65,0,1.5,58.64,267593.63
0.0,0,25.0,18.65,0,1.5,58.64,273148.75
0.0,0,25.0,18.65,0,1.5,58.64,284008.81
0.0,0,25.0,18.65,0,1.5,58.64,288483.14
0.0,0,25.0,18.65,0,1.5,58.64,281935.91
0.0,0,25.0,18.65,0,1.5,58.64,275184.64
0.0,0,25.0,18.65,0,1.5,58.64,264975.03
0.0,0,25.0,18.65,0,1.5,58.64,274453.93
0.0,0,25.0,18.65,0,1.5,58.64,260403.96
0.0,0,25.0,18.65,0,1.5,58.64,267984.47
0.0,0,25.0,18.65,0,1.5,58.64,261337.42
0.0,0,25.0,18.65,0,1.5,58.64,266630.14
0.0,0,25.0,18.65,0,1.5,58.64,284579.86
0.0,0,25.0,18.65,0,1.5,58.64,279856.42
0.0,0,25.0,18.65,0,1.5,58.64,280382.33
0.0,0,25.0,18.65,0,1.5,58.64,283217.36
0.0,0,25.0,18.65,0,1.5,58.64,272881.07
0.0,0,25.0,18.65,0,1.5,58.64,274885.26
0.0,0,25.0,18.65,0,1.5,58.64,272760.52
0.0,0,25.0,18.65,0,1.5,58.64,276231.04
0.0,0,25.0,18.65,0,1.5,58.64,263198.5
0.0,0,25.0,18.65,0,1.5,58.64,276042.5
0.0,0,25.0,18.65,0,1.5,58.64,268178.34
0.0,0,25.0,18.65,0,1.5,58.64,263903.33
0.0,0,25.0,18.65,0,1.5,58.64,271960.26
0.0,0,25.0,18.65,0,1.5,58.64,282914.78
0.0,0,25.0,18.65,0,1.5,58.64,288818.83
0.0,0,25.0,18.65,0,1.5,58.64,271703.37
0.0,0,25.0,18.65,0,1.5,58.64,279696.03
0.0,0,25.0,18.65,0,1.5,58.64,275580.77
0.0,0,25.0,18.65,0,1.5,58.64,270012.22
0.0,0,25.0,18.65,0,1.5,58.64,265936.9
0.0,0,25.0,18.65,0,1.5,58.64,272636.97
0.0,0,25.0,18.65,0,1.5,58.64,264360.44
0.0,0,25.0,18.65,0,1.5,58.64,273661.83
0.0,0,25.0,18.65,0,1.5,58.64,260630.28
0.0,0,25.0,18.65,0,1.5,58.64,275834.83
0.0,0,25.0,18.65,0,1.5,58.64,275094.88
0.0,0,25.0,18.65,0,1.5,58.64,275616.19
0.0,0,25.0,18.65,0,1.5,58.64,277691.89
0.0,0,25.0,18.65,0,1.5,58.64,264587.03
0.0,0,25.0,18.65,0,1.5,58.64,261381.03
0.0,0,25.0,18.65,0,1.5,58.64,258502.82
0.0,0,25.0,18.65,0,1.5,58.64,271787.77
0.0,0,25.0,18.65,0,1.5,58.64,259911.43
0.0,0,25.0,18.65,0,1.5,58.64,272063.54
0.0,0,25.0,18.65,0,1.5,58.64,273840.61
0.0,0,25.0,18.65,0,1.5,58.64,267082.88
0.0,0,25.0,18.65,0,1.5,58.64,275855.79
0.0,0,25.0,18.65,0,1.5,58.64,281461.43
0.0,0,25.0,18.65,0,1.5,58.64,276699.23
0.0,0,25.0,18.65,0,1.5,58.64,285809.12
0.0,0,25.0,18.65,0,1.5,58.64,275885.4
0.0,0,25.0,18.65,0,1.5,58.64,273142.47
0.0,0,25.0,18.65,0,1.5,58.64,264670.57
0.0,0,25.0,18.65,0,1.5,58.64,270322.62
0.0,0,25.0,18.65,0,1.5,58.64,272186.8
0.0,0,25.0,18.65,0,1.5,58.64,269271.63
0.0,0,25.0,18.65,0,1.5,58.64,267924.2
0.0,0,25.0,18.65,0,1.5,58.64,281523.08
0.0,0,25.0,18.65,0,1.5,58.64,272859.24
0.0,0,25.0,18.65,0,1.5,58.64,282501.65
0.0,0,25.0,18.65,0,1.5,58.64,281189.81
0.0,0,25.0,18.65,0,1.5,58.64,275267.93
0.0,0,25.0,18.65,0,1.5,58.64,265096.62
0.0,0,25.0,18.65,0,1.5,58.64,275069.13
0.0,0,25.0,18.65,0,1.5,58.64,279026.61
0.0,0,25.0,18.65,0,1.5,58.64,277418.63
0.0,0,25.0,18.65,0,1.5,58.64,264987.1
0.0,0,25.0,18.65,0,1.5,58.64,271085.54
0.0,0,25.0,18.65,0,1.5,58.64,272764.29
0.0,0,25.0,18.65,0,1.5,58.64,271990.02
0.0,0,25.0,18.65,0,1.5,58.64,273824.18
0.0,0,25.0,18.65,0,1.5,58.64,276989.02
0.0,0,25.0,18.65,0,1.5,58.64,274671.43
0.0,0,25.0,18.65,0,1.5,58.64,267387.14
0.0,0,25.0,18.65,0,1.5,58.64,274694.75
0.0,0,25.0,18.65,0,1.5,58.64,256110.02
0.0,0,25.0,18.65,0,1.5,58.64,266344.68
0.0,0,25.0,18.65,0,1.5,58.64,276706.94
0.0,0,25.0,18.65,0,1.5,58.64,281215.21
0.0,0,25.0,18.65,0,1.5,58.64,276497.61
0.0,0,25.0,18.65,0,1.5,58.64,277077.46
0.0,0,25.0,18.65,0,1.5,58.64,277010.79
0.0,0,25.0,18.65,0,1.5,58.64,278549.91
0.0,0,25.0,18.65,0,1.5,58.64,276020.94
0.0,0,25.0,18.65,0,1.5,58.64,271587.3
0.0,0,25.0,18.65,0,1.5,58.64,262598.87
0.0,0,25.0,18.65,0,1.5,58.64,262839.75
0.0,0,25.0,18.65,0,1.5,58.64,277103.72
0.0,0,25.0,18.65,0,1.5,58.64,264520.74
0.0,0,25.0,18.65,0,1.5,58.64,278092.77
0.0,0,25.0,18.65,0,1.5,58.64,272535.19
0.0,0,25.0,18.65,0,1.5,58.64,278373.51
0.0,0,25.0,18.65,0,1.5,58.64,272395.78
0.0,0,25.0,18.65,0,1.5,58.64,274029.5
0.0,0,25.0,18.65,0,1.5,58.64,272252.85
0.0,0,25.0,18.65,0,1.5,58.64,271769.58
0.0,0,25.0,18.65,0,1.5,58.64,263315.55
0.0,0,25.0,18.65,0,1.5,58.64,267424.56
0.0,0,25.0,18.65,0,1.5,58.64,266373.47
0.0,0,25.0,18.65,0,1.5,58.64,259095.45
0.0,0,25.0,18.65,0,1.5,58.64,278895.81
0.0,0,25.0,18.65,0,1.5,58.64,270858.26
0.0,0,25.0,18.65,0,1.5,58.64,270438.19
