x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,loss_db,throughput_kbps
0.0,0,25.0,18.65,0,1.5,58.64,394299.88
0.0,0,25.0,18.65,0,1.5,58.64,396243.81
0.0,0,25.0,18.65,0,1.5,58.64,408631.26
0.0,0,25.0,18.65,0,1.5,58.64,397584.51
0.0,0,25.0,18.65,0,1.5,58.64,394469.16
0.0,0,25.0,18.65,0,1.5,58.64,412847.14
0.0,0,25.0,18.65,0,1.5,58.64,404356.04
0.0,0,25.0,18.65,0,1.5,58.64,401929.27
0.0,0,25.0,18.65,0,1.5,58.64,402220.82
0.0,0,25.0,18.65,0,1.5,58.64,406397.89
0.0,0,25.0,18.65,0,1.5,58.64,390092.45
0.0,0,25.0,18.65,0,1.5,58.64,404312.92
0.0,0,25.0,18.65,0,1.5,58.64,398719.96
0.0,0,25.0,18.65,0,1.5,58.64,398206.42
0.0,0,25.0,18.65,0,1.5,58.64,388927.67
0.0,0,25.0,18.65,0,1.5,58.64,410372.64
0.0,0,25.0,18.65,0,1.5,58.64,404281.77
0.0,0,25.0,18.65,0,1.5,58.64,397540.57
0.0,0,25.0,18.65,0,1.5,58.64,398987.24
0.0,0,25.0,18.65,0,1.5,58.64,399687.01
0.0,0,25.0,18.65,0,1.5,58.64,393401.49
0.0,0,25.0,18.65,0,1.5,58.64,397765.85
0.0,0,25.0,18.65,0,1.5,58.64,396742.98
0.0,0,25.0,18.65,0,1.5,58.64,396786.9
0.0,0,25.0,18.65,0,1.5,58.64,403529.31
0.0,0,25.0,18.65,0,1.5,58.64,411775.86
0.0,0,25.0,18.65,0,1.5,58.64,403923.87
0.0,0,25.0,18.65,0,1.5,58.64,394361.27
0.0,0,25.0,18.65,0,1.5,58.64,387986.75
0.0,0,25.0,18.65,0,1.5,58.64,410870.4
0.0,0,25.0,18.65,0,1.5,58.64,369264.63
0.0,0,25.0,18.65,0,1.5,58.64,376974.76
0.0,0,25.0,18.65,0,1.5,58.64,386134.23
0.0,0,25.0,18.65,0,1.5,58.64,395923.4
0.0,0,25.0,18.65,0,1.5,58.64,390855.22
0.0,0,25.0,18.65,0,1.5,58.64,391524.83
0.0,0,25.0,18.65,0,1.5,58.64,399956.18
0.0,0,25.0,18.65,0,1.5,58.64,411364.4
0.0,0,25.0,18.65,0,1.5,58.64,394025.79
0.0,0,25.0,18.65,0,1.5,58.64,393713.85
0.0,0,25.0,18.65,0,1.5,58.64,400651.86
0.0,0,25.0,18.65,0,1.5,58.64,388541.39
0.0,0,25.0,18.65,0,1.5,58.64,381832.35
0.0,0,25.0,18.65,0,1.5,58.64,393163.47
0.0,0,25.0,18.65,0,1.5,58.64,392721.72
0.0,0,25.0,18.65,0,1.5,58.64,394749.9
0.0,0,25.0,18.65,0,1.5,58.64,392514.86
0.0,0,25.0,18.65,0,1.5,58.64,403774.53
0.0,0,25.0,18.65,0,1.5,58.64,396301.62
0.0,0,25.0,18.65,0,1.5,58.64,409379.77
0.0,0,25.0,18.65,0,1.5,58.64,399324.33
0.0,0,25.0,18.65,0,1.5,58.64,402207.25
0.0,0,25.0,18.65,0,1.5,58.64,389994.53
0.0,0,25.0,18.65,0,1.5,58.64,394932.05
0.0,0,25.0,18.65,0,1.5,58.64,394855.36
0.0,0,25.0,18.65,0,1.5,58.64,398868.21
0.0,0,25.0,18.65,0,1.5,58.64,391384.88
0.0,0,25.0,18.65,0,1.5,58.64,391920.58
0.0,0,25.0,18.65,0,1.5,58.64,400000.13
0.0,0,25.0,18.65,0,1.5,58.64,404618.5
0.0,0,25.0,18.65,0,1.5,58.64,394735.56
0.0,0,25.0,18.65,0,1.5,58.64,409899.84
0.0,0,25.0,18.65,0,1.5,58.64,403937.11
0.0,0,25.0,18.65,0,1.5,58.64,412564.72
0.0,0,25.0,18.65,0,1.5,58.64,388448.15
0.0,0,25.0,18.65,0,1.5,58.64,394944.81
0.0,0,25.0,18.65,0,1.5,58.64,384258.25
0.0,0,25.0,18.65,0,1.5,58.64,404742.7
0.0,0,25.0,18.65,0,1.5,58.64,387481.06
0.0,0,25.0,18.65,0,1.5,58.64,410041.2
0.0,0,25.0,18.65,0,1.5,58.64,405992.91
0.0,0,25.0,18.65,0,1.5,58.64,409995.67
0.0,0,25.0,18.65,0,1.5,58.64,405035.05
0.0,0,25.0,18.65,0,1.5,58.64,402353.05
0.0,0,25.0,18.65,0,1.5,58.64,394909.66
0.0,0,25.0,18.65,0,1.5,58.64,382080.45
0.0,0,25.0,18.65,0,1.5,58.64,399179.35
0.0,0,25.0,18.65,0,1.5,58.64,400138.7
0.0,0,25.0,18.65,0,1.5,58.64,398577.83
0.0,0,25.0,18.65,0,1.5,58.64,398285.88
0.0,0,25.0,18.65,0,1.5,58.64,399513.66
0.0,0,25.0,18.65,0,1.5,58.64,397769.83
0.0,0,25.0,18.65,0,1.5,58.64,405851.39
0.0,0,25.0,18.65,0,1.5,58.64,405728.05
0.0,0,25.0,18.65,0,1.5,58.64,407807.36
0.0,0,25.0,18.65,0,1.5,58.64,397972.36
