time_s,tx_node,rx_node,rx_power_dbm,throughput_kbps
1,0,1,-18.64,394299.88
2,0,1,-18.64,396243.81
3,0,1,-18.64,408631.26
4,0,1,-18.64,397584.51
5,0,1,-18.64,394469.16
6,0,1,-18.64,412847.14
7,0,1,-18.64,404356.04
8,0,1,-18.64,401929.27
9,0,1,-18.64,402220.82
10,0,1,-18.64,406397.89
11,0,1,-18.64,390092.45
12,0,1,-18.64,404312.92
13,0,1,-18.64,398719.96
14,0,1,-18.64,398206.42
15,0,1,-18.64,388927.67
16,0,1,-18.64,410372.64
17,0,1,-18.64,404281.77
18,0,1,-18.64,397540.57
19,0,1,-18.64,398987.24
20,0,1,-18.64,399687.01
21,0,1,-18.64,393401.49
22,0,1,-18.64,397765.85
23,0,1,-18.64,396742.98
24,0,1,-18.64,396786.9
25,0,1,-18.64,403529.31
26,0,1,-18.64,411775.86
27,0,1,-18.64,403923.87
28,0,1,-18.64,394361.27
29,0,1,-18.64,387986.75
30,0,1,-18.64,410870.4
31,0,1,-18.64,369264.63
32,0,1,-18.64,376974.76
33,0,1,-18.64,386134.23
34,0,1,-18.64,395923.4
35,0,1,-18.64,390855.22
36,0,1,-18.64,391524.83
37,0,1,-18.64,399956.18
38,0,1,-18.64,411364.4
39,0,1,-18.64,394025.79
40,0,1,-18.64,393713.85
41,0,1,-18.64,400651.86
42,0,1,-18.64,388541.39
43,0,1,-18.64,381832.35
44,0,1,-18.64,393163.47
45,0,1,-18.64,392721.72
46,0,1,-18.64,394749.9
47,0,1,-18.64,392514.86
48,0,1,-18.64,403774.53
49,0,1,-18.64,396301.62
50,0,1,-18.64,409379.77
51,0,1,-18.64,399324.33
52,0,1,-18.64,402207.25
53,0,1,-18.64,389994.53
54,0,1,-18.64,394932.05
55,0,1,-18.64,394855.36
56,0,1,-18.64,398868.21
57,0,1,-18.64,391384.88
58,0,1,-18.64,391920.58
59,0,1,-18.64,400000.13
60,0,1,-18.64,404618.5
61,0,1,-18.64,394735.56
62,0,1,-18.64,409899.84
63,0,1,-18.64,403937.11
64,0,1,-18.64,412564.72
65,0,1,-18.64,388448.15
66,0,1,-18.64,394944.81
67,0,1,-18.64,384258.25
68,0,1,-18.64,404742.7
69,0,1,-18.64,387481.06
70,0,1,-18.64,410041.2
71,0,1,-18.64,405992.91
72,0,1,-18.64,409995.67
73,0,1,-18.64,405035.05
74,0,1,-18.64,402353.05
75,0,1,-18.64,394909.66
76,0,1,-18.64,382080.45
77,0,1,-18.64,399179.35
78,0,1,-18.64,400138.7
79,0,1,-18.64,398577.83
80,0,1,-18.64,398285.88
81,0,1,-18.64,399513.66
82,0,1,-18.64,397769.83
83,0,1,-18.64,405851.39
84,0,1,-18.64,405728.05
85,0,1,-18.64,407807.36
86,0,1,-18.64,397972.36
87,0,1,-18.64,390593.62
88,0,1,-18.64,393102.86
89,0,1,-18.64,395093.41
90,0,1,-18.64,386508.89
91,0,1,-18.64,399511.66
92,0,1,-18.64,404899.04
93,0,1,-18.64,401900.91
94,0,1,-18.64,403061.58
95,0,1,-18.64,405414.11
96,0,1,-18.64,408412.48
97,0,1,-18.64,398921.35
98,0,1,-18.64,400642.77
99,0,1,-18.64,385550.32
100,0,1,-18.64,394170.48
101,0,1,-18.64,397219.44
102,0,1,-18.64,393224.26
103,0,1,-18.64,391159.98
104,0,1,-18.64,411097.66
105,0,1,-18.64,394042.84
106,0,1,-18.64,402730.09
107,0,1,-18.64,402007.15
