x_tx,y_tx,z_tx,x_rx,y_rx,z_rx,loss_db,throughput_kbps
0.0,0,25.0,18.65,0,1.5,60.64,109650.98
0.0,0,25.0,18.65,0,1.5,60.64,107430.64
0.0,0,25.0,18.65,0,1.5,60.64,109488.97
0.0,0,25.0,18.65,0,1.5,60.64,107911.72
0.0,0,25.0,18.65,0,1.5,60.64,108103.12
0.0,0,25.0,18.65,0,1.5,60.64,108829.84
0.0,0,25.0,18.65,0,1.5,60.64,108541.36
0.0,0,25.0,18.65,0,1.5,60.64,109154.55
0.0,0,25.0,18.65,0,1.5,60.64,107708.33
0.0,0,25.0,18.65,0,1.5,60.64,108942.58
0.0,0,25.0,18.65,0,1.5,60.64,109036.8
0.0,0,25.0,18.65,0,1.5,60.64,108640.76
0.0,0,25.0,18.65,0,1.5,60.64,107299.03
0.0,0,25.0,18.65,0,1.5,60.64,108529.85
0.0,0,25.0,18.65,0,1.5,60.64,109517.49
0.0,0,25.0,18.65,0,1.5,60.64,107642.45
0.0,0,25.0,18.65,0,1.5,60.64,109478.52
0.0,0,25.0,18.65,0,1.5,60.64,107602.97
0.0,0,25.0,18.65,0,1.5,60.64,108886.37
0.0,0,25.0,18.65,0,1.5,60.64,108764.04
0.0,0,25.0,18.65,0,1.5,60.64,108657.19
0.0,0,25.0,18.65,0,1.5,60.64,109505.5
0.0,0,25.0,18.65,0,1.5,60.64,108304.03
0.0,0,25.0,18.65,0,1.5,60.64,107751.89
0.0,0,25.0,18.65,0,1.5,60.64,108650.3
0.0,0,25.0,18.65,0,1.5,60.64,108865.56
0.0,0,25.0,18.65,0,1.5,60.64,107711.24
0.0,0,25.0,18.65,0,1.5,60.64,108350.75
0.0,0,25.0,18.65,0,1.5,60.64,108728.01
0.0,0,25.0,18.65,0,1.5,60.64,107969.53
0.0,0,25.0,18.65,0,1.5,60.64,110059.97
0.0,0,25.0,18.65,0,1.5,60.64,108216.14
0.0,0,25.0,18.65,0,1.5,60.64,107921.2
0.0,0,25.0,18.65,0,1.5,60.64,109132.99
0.0,0,25.0,18.65,0,1.5,60.64,107592.08
0.0,0,25.0,18.65,0,1.5,60.64,108129.36
0.0,0,25.0,18.65,0,1.5,60.64,109317.63
0.0,0,25.0,18.65,0,1.5,60.64,108292.34
0.0,0,25.0,18.65,0,1.5,60.64,108894.21
0.0,0,25.0,18.65,0,1.5,60.64,108665.15
0.0,0,25.0,18.65,0,1.5,60.64,108775.28
0.0,0,25.0,18.65,0,1.5,60.64,107011.13
0.0,0,25.0,18.65,0,1.5,60.64,108290.05
0.0,0,25.0,18.65,0,1.5,60.64,109606.93
0.0,0,25.0,18.65,0,1.5,60.64,108726.36
0.0,0,25.0,18.65,0,1.5,60.64,108950.86
0.0,0,25.0,18.65,0,1.5,60.64,107731.29
0.0,0,25.0,18.65,0,1.5,60.64,108411.66
0.0,0,25.0,18.65,0,1.5,60.64,108582.58
0.0,0,25.0,18.65,0,1.5,60.64,108264.33
0.0,0,25.0,18.65,0,1.5,60.64,110191.46
0.0,0,25.0,18.65,0,1.5,60.64,108215.64
0.0,0,25.0,18.65,0,1.5,60.64,107848.2
0.0,0,25.0,18.65,0,1.5,60.64,109698.99
0.0,0,25.0,18.65,0,1.5,60.64,107710.81
0.0,0,25.0,18.65,0,1.5,60.64,108808.71
0.0,0,25.0,18.65,0,1.5,60.64,108045.76
0.0,0,25.0,18.65,0,1.5,60.64,108118.44
0.0,0,25.0,18.65,0,1.5,60.64,109698.61
0.0,0,25.0,18.65,0,1.5,60.64,108678.3
0.0,0,25.0,18.65,0,1.5,60.64,108754.27
0.0,0,25.0,18.65,0,1.5,60.64,108543.35
0.0,0,25.0,18.65,0,1.5,60.64,107476.89
0.0,0,25.0,18.65,0,1.5,60.64,109489.51
0.0,0,25.0,18.65,0,1.5,60.64,108659.58
0.0,0,25.0,18.65,0,1.5,60.64,107782.2
0.0,0,25.0,18.65,0,1.5,60.64,109062.17
0.0,0,25.0,18.65,0,1.5,60.64,108540.86
0.0,0,25.0,18.65,0,1.5,60.64,107945.36
0.0,0,25.0,18.65,0,1.5,60.64,109728.3
0.0,0,25.0,18.65,0,1.5,60.64,108186.82
0.0,0,25.0,18.65,0,1.5,60.64,107523.04
0.0,0,25.0,18.65,0,1.5,60.64,109677.59
0.0,0,25.0,18.65,0,1.5,60.64,107828.14
0.0,0,25.0,18.65,0,1.5,60.64,108187.58
0.0,0,25.0,18.65,0,1.5,60.64,108301.98
0.0,0,25.0,18.65,0,1.5,60.64,109057.42
0.0,0,25.0,18.65,0,1.5,60.64,108257.19
0.0,0,25.0,18.65,0,1.5,60.64,108517.72
0.0,0,25.0,18.65,0,1.5,60.64,108012.98
0.0,0,25.0,18.65,0,1.5,60.64,108952.17
0.0,0,25.0,18.65,0,1.5,60.64,108448.07
0.0,0,25.0,18.65,0,1.5,60.64,108528.7
0.0,0,25.0,18.65,0,1.5,60.64,108554.2
0.0,0,25.0,18.65,0,1.5,60.64,108301.93
0.0,0,25.0,18.65,0,1.5,60.64,109627.43
0.0,0,25.0,18.65,0,1.5,60.64,108324.74
0.0,0,25.0,18.65,0,1.5,60.64,108065.06
0.0,0,25.0,18.65,0,1.5,60.64,109570.86
0.0,0,25.0,18.65,0,1.5,60.64,108557.61
0.0,0,25.0,18.65,0,1.5,60.64,107376.4
0.0,0,25.0,18.65,0,1.5,60.64,108857.08
0.0,0,25.0,18.65,0,1.5,60.64,109714.63
0.0,0,25.0,18.65,0,1.5,60.64,108435.01
0.0,0,25.0,18.65,0,1.5,60.64,108303.43
0.0,0,25.0,18.65,0,1.5,60.64,108898.8
0.0,0,25.0,18.65,0,1.5,60.64,107341.31
0.0,0,25.0,18.65,0,1.5,60.64,109468.16
0.0,0,25.0,18.65,0,1.5,60.64,107681.37
0.0,0,25.0,18.65,0,1.5,60.64,108299.0
0.0,0,25.0,18.65,0,1.5,60.64,108981.79
0.0,0,25.0,18.65,0,1.5,60.64,108761.11
0.0,0,25.0,18.65,0,1.5,60.64,108871.88
0.0,0,25.0,18.65,0,1.5,60.64,108092.01
0.0,0,25.0,18.65,0,1.5,60.64,109228.65
0.0,0,25.0,18.65,0,1.5,60.64,108634.02
0.0,0,25.0,18.65,0,1.5,60.64,108353.35
0.0,0,25.0,18.65,0,1.5,60.64,107555.29
0.0,0,25.0,18.65,0,1.5,60.64,109025.88
0.0,0,25.0,18.65,0,1.5,60.64,108566.48
0.0,0,25.0,18.65,0,1.5,60.64,109134.63
0.0,0,25.0,18.65,0,1.5,60.64,107729.88
0.0,0,25.0,18.65,0,1.5,60.64,109471.61
0.0,0,25.0,18.65,0,1.5,60.64,108540.42
0.0,0,25.0,18.65,0,1.5,60.64,107829.43
0.0,0,25.0,18.65,0,1.5,60.64,109133.75
0.0,0,25.0,18.65,0,1.5,60.64,108040.92
0.0,0,25.0,18.65,0,1.5,60.64,108553.92
0.0,0,25.0,18.65,0,1.5,60.64,108553.95
0.0,0,25.0,18.65,0,1.5,60.64,109799.48
0.0,0,25.0,18.65,0,1.5,60.64,108467.68
0.0,0,25.0,18.65,0,1.5,60.64,107827.06
0.0,0,25.0,18.65,0,1.5,60.64,108306.7
0.0,0,25.0,18.65,0,1.5,60.64,108025.92
0.0,0,25.0,18.65,0,1.5,60.64,109150.87
0.0,0,25.0,18.65,0,1.5,60.64,108561.04
0.0,0,25.0,18.65,0,1.5,60.64,108663.72
0.0,0,25.0,18.65,0,1.5,60.64,108138.2
0.0,0,25.0,18.65,0,1.5,60.64,108951.84
0.0,0,25.0,18.65,0,1.5,60.64,109125.9
0.0,0,25.0,18.65,0,1.5,60.64,107473.02
0.0,0,25.0,18.65,0,1.5,60.64,109452.18
0.0,0,25.0,18.65,0,1.5,60.64,108474.2
0.0,0,25.0,18.65,0,1.5,60.64,107810.67
0.0,0,25.0,18.65,0,1.5,60.64,108781.69
