time_ms,x_gNb,y_gNb,z_gNb,x_ue,y_ue,z_ue,throughput_kbps_uplink,throughput_kbps_downlink
2000,0,0,25,9,0,1.5,17513.2,401163
3000,0,0,25,9,0,1.5,19653.1,444481
4000,0,0,25,9,0,1.5,19653.1,444481
5000,0,0,25,9,0,1.5,21443.1,444241
6000,0,0,25,9,0,1.5,22236.4,444127
7000,0,0,25,9,0,1.5,22277.2,444132
8000,0,0,25,9,0,1.5,22277.2,444129
9000,0,0,25,9,0,1.5,22236.4,444127
10000,0,0,25,9,0,1.5,22277.2,444132
11000,0,0,25,9,0,1.5,22277.2,444127
12000,0,0,25,9,0,1.5,22236.4,444132
13000,0,0,25,9,0,1.5,22276.8,444129
14000,0,0,25,9,0,1.5,22277.2,444127
15000,0,0,25,9,0,1.5,22236.4,444132
16000,0,0,25,9,0,1.5,22277.2,444127
17000,0,0,25,9,0,1.5,22277.2,444132
18000,0,0,25,9,0,1.5,22236.4,444129
19000,0,0,25,9,0,1.5,22277.2,444127
20000,0,0,25,9,0,1.5,22276.8,444132
21000,0,0,25,9,0,1.5,22236.4,444127
22000,0,0,25,9,0,1.5,22277.2,444132
23000,0,0,25,9,0,1.5,22277.2,444129
24000,0,0,25,9,0,1.5,22236.4,444127
25000,0,0,25,9,0,1.5,22277.2,444132
26000,0,0,25,9,0,1.5,22277.2,444127
27000,0,0,25,9,0,1.5,22236.4,444132
28000,0,0,25,9,0,1.5,22276.8,444129
29000,0,0,25,9,0,1.5,22277.2,444127
30000,0,0,25,9,0,1.5,22236.4,444132
31000,0,0,25,9,0,1.5,22277.2,444127
32000,0,0,25,9,0,1.5,22277.2,444132
33000,0,0,25,9,0,1.5,22236.4,444129
34000,0,0,25,9,0,1.5,22277.2,444127
35000,0,0,25,9,0,1.5,22276.8,444132
36000,0,0,25,9,0,1.5,22236.9,444127
37000,0,0,25,9,0,1.5,22276.8,444132
38000,0,0,25,9,0,1.5,22277.2,444129
39000,0,0,25,9,0,1.5,22236.4,444132
40000,0,0,25,9,0,1.5,22277.2,444127
41000,0,0,25,9,0,1.5,22277.2,444127
42000,0,0,25,9,0,1.5,22236.4,444132
43000,0,0,25,9,0,1.5,22277.2,444129
