time_ms,x_gNb,y_gNb,z_gNb,x_ue,y_ue,z_ue,throughput_kbps_uplink,throughput_kbps_downlink
2000,0,0,25,9,0,1.5,102717,4542.34
3000,0,0,25,9,0,1.5,110779,4898.4
4000,0,0,25,9,0,1.5,110784,4898.82
5000,0,0,25,9,0,1.5,110779,4898.4
6000,0,0,25,9,0,1.5,110779,4898.4
7000,0,0,25,9,0,1.5,110779,4898.4
8000,0,0,25,9,0,1.5,110784,4898.4
9000,0,0,25,9,0,1.5,110779,4898.4
10000,0,0,25,9,0,1.5,110779,4898.4
11000,0,0,25,9,0,1.5,110784,4898.82
12000,0,0,25,9,0,1.5,110779,4898.4
13000,0,0,25,9,0,1.5,110779,4898.4
14000,0,0,25,9,0,1.5,110779,4898.4
15000,0,0,25,9,0,1.5,110784,4898.4
16000,0,0,25,9,0,1.5,110779,4898.4
17000,0,0,25,9,0,1.5,110757,5052.74
18000,0,0,25,9,0,1.5,110695,5549.02
19000,0,0,25,9,0,1.5,110692,5549.02
20000,0,0,25,9,0,1.5,110695,5549.02
21000,0,0,25,9,0,1.5,110692,5548.61
22000,0,0,25,9,0,1.5,110692,5549.02
23000,0,0,25,9,0,1.5,110691,5548.61
24000,0,0,25,9,0,1.5,110692,5549.02
25000,0,0,25,9,0,1.5,110695,5549.02
26000,0,0,25,9,0,1.5,110692,5548.61
27000,0,0,25,9,0,1.5,110692,5549.02
28000,0,0,25,9,0,1.5,110691,5548.61
29000,0,0,25,9,0,1.5,110697,5549.02
30000,0,0,25,9,0,1.5,110691,5549.02
31000,0,0,25,9,0,1.5,110692,5548.61
32000,0,0,25,9,0,1.5,110695,5549.02
33000,0,0,25,9,0,1.5,110692,5549.02
34000,0,0,25,9,0,1.5,110692,5548.61
35000,0,0,25,9,0,1.5,110691,5549.02
36000,0,0,25,9,0,1.5,110692,5548.61
37000,0,0,25,9,0,1.5,110695,5549.02
38000,0,0,25,9,0,1.5,110692,5549.02
39000,0,0,25,9,0,1.5,110692,5548.61
40000,0,0,25,9,0,1.5,110695,5549.02
41000,0,0,25,9,0,1.5,110692,5549.02
42000,0,0,25,9,0,1.5,110691,5548.61
43000,0,0,25,9,0,1.5,110692,5549.02
44000,0,0,25,9,0,1.5,110695,5549.02
45000,0,0,25,9,0,1.5,110692,5548.61
46000,0,0,25,9,0,1.5,110692,5549.02
47000,0,0,25,9,0,1.5,110691,5548.61
48000,0,0,25,9,0,1.5,110697,5549.02
49000,0,0,25,9,0,1.5,110691,5549.02
50000,0,0,25,9,0,1.5,110692,5548.61
51000,0,0,25,9,0,1.5,110695,5549.02
52000,0,0,25,9,0,1.5,110692,5549.02
53000,0,0,25,9,0,1.5,110692,5548.61
54000,0,0,25,9,0,1.5,110691,5549.02
55000,0,0,25,9,0,1.5,110692,5548.61
56000,0,0,25,9,0,1.5,110695,5549.02
57000,0,0,25,9,0,1.5,110692,5549.02
58000,0,0,25,9,0,1.5,110692,5548.61
59000,0,0,25,9,0,1.5,110695,5549.02
60000,0,0,25,9,0,1.5,110692,5549.02
61000,0,0,25,9,0,1.5,110691,5548.61
62000,0,0,25,9,0,1.5,110692,5549.02
63000,0,0,25,9,0,1.5,110695,5549.02
64000,0,0,25,9,0,1.5,110692,5548.61
65000,0,0,25,9,0,1.5,110692,5549.02
66000,0,0,25,9,0,1.5,110691,5548.61
67000,0,0,25,9,0,1.5,110692,5549.02
68000,0,0,25,9,0,1.5,110695,5549.02
69000,0,0,25,9,0,1.5,110692,5548.61
70000,0,0,25,9,0,1.5,110692,5549.02
71000,0,0,25,9,0,1.5,110695,5549.02
72000,0,0,25,9,0,1.5,110692,5548.61
73000,0,0,25,9,0,1.5,110691,5549.02
74000,0,0,25,9,0,1.5,110692,5548.61
75000,0,0,25,9,0,1.5,110695,5549.02
76000,0,0,25,9,0,1.5,110692,5549.02
77000,0,0,25,9,0,1.5,110692,5548.61
78000,0,0,25,9,0,1.5,110691,5549.02
79000,0,0,25,9,0,1.5,110697,5549.02
80000,0,0,25,9,0,1.5,110691,5548.61
81000,0,0,25,9,0,1.5,110692,5549.02
82000,0,0,25,9,0,1.5,110695,5549.02
83000,0,0,25,9,0,1.5,110692,5548.61
84000,0,0,25,9,0,1.5,110692,5549.02
85000,0,0,25,9,0,1.5,110691,5548.61
86000,0,0,25,9,0,1.5,110692,5549.02
87000,0,0,25,9,0,1.5,110695,5549.02
88000,0,0,25,9,0,1.5,110692,5548.61
89000,0,0,25,9,0,1.5,110692,5549.02
90000,0,0,25,9,0,1.5,110695,5549.02
91000,0,0,25,9,0,1.5,110692,5548.61
92000,0,0,25,9,0,1.5,110691,5549.02
93000,0,0,25,9,0,1.5,110692,5548.61
94000,0,0,25,9,0,1.5,110695,5549.02
95000,0,0,25,9,0,1.5,110692,5549.02
96000,0,0,25,9,0,1.5,110692,5548.61
97000,0,0,25,9,0,1.5,110691,5549.02
98000,0,0,25,9,0,1.5,110697,5549.02
99000,0,0,25,9,0,1.5,110691,5548.61
100000,0,0,25,9,0,1.5,110692,5549.02
101000,0,0,25,9,0,1.5,110695,5549.02
102000,0,0,25,9,0,1.5,110692,5548.61
103000,0,0,25,9,0,1.5,110692,5549.02
104000,0,0,25,9,0,1.5,110691,5548.61
105000,0,0,25,9,0,1.5,110692,5549.02
106000,0,0,25,9,0,1.5,110695,5549.02
107000,0,0,25,9,0,1.5,110692,5548.61
108000,0,0,25,9,0,1.5,110692,5549.02
109000,0,0,25,9,0,1.5,110691,5548.61
110000,0,0,25,9,0,1.5,110697,5549.02
111000,0,0,25,9,0,1.5,110691,5549.02
112000,0,0,25,9,0,1.5,110692,5548.61
113000,0,0,25,9,0,1.5,110695,5549.02
114000,0,0,25,9,0,1.5,110692,5549.02
115000,0,0,25,9,0,1.5,110692,5548.61
116000,0,0,25,9,0,1.5,110691,5549.02
