time_ms,x_gNb,y_gNb,z_gNb,x_ue,y_ue,z_ue,throughput_kbps_uplink,throughput_kbps_downlink
2000,0,0,25,9,0,1.5,0,443548
3000,0,0,25,9,0,1.5,0,446039
4000,0,0,25,9,0,1.5,0,446027
5000,0,0,25,9,0,1.5,0,446027
6000,0,0,25,9,0,1.5,0,446039
7000,0,0,25,9,0,1.5,0,446027
8000,0,0,25,9,0,1.5,0,446039
9000,0,0,25,9,0,1.5,0,446027
10000,0,0,25,9,0,1.5,0,446039
11000,0,0,25,9,0,1.5,0,446027
12000,0,0,25,9,0,1.5,0,446039
13000,0,0,25,9,0,1.5,0,446027
14000,0,0,25,9,0,1.5,0,446027
15000,0,0,25,9,0,1.5,0,446039
16000,0,0,25,9,0,1.5,0,446027
17000,0,0,25,9,0,1.5,0,446039
18000,0,0,25,9,0,1.5,0,446027
19000,0,0,25,9,0,1.5,0,446039
20000,0,0,25,9,0,1.5,0,446027
21000,0,0,25,9,0,1.5,0,446027
22000,0,0,25,9,0,1.5,0,446039
23000,0,0,25,9,0,1.5,0,446027
24000,0,0,25,9,0,1.5,0,446039
25000,0,0,25,9,0,1.5,0,446027
26000,0,0,25,9,0,1.5,0,446039
27000,0,0,25,9,0,1.5,0,446027
28000,0,0,25,9,0,1.5,0,446039
29000,0,0,25,9,0,1.5,0,446027
30000,0,0,25,9,0,1.5,0,446027
31000,0,0,25,9,0,1.5,0,446039
32000,0,0,25,9,0,1.5,0,446027
33000,0,0,25,9,0,1.5,0,446039
34000,0,0,25,9,0,1.5,0,446027
35000,0,0,25,9,0,1.5,0,446039
36000,0,0,25,9,0,1.5,0,446027
37000,0,0,25,9,0,1.5,0,446027
38000,0,0,25,9,0,1.5,0,446039
39000,0,0,25,9,0,1.5,0,446027
40000,0,0,25,9,0,1.5,0,446039
41000,0,0,25,9,0,1.5,0,446027
42000,0,0,25,9,0,1.5,0,446039
43000,0,0,25,9,0,1.5,0,446027
44000,0,0,25,9,0,1.5,0,446039
45000,0,0,25,9,0,1.5,0,446027
46000,0,0,25,9,0,1.5,0,446027
47000,0,0,25,9,0,1.5,0,446039
48000,0,0,25,9,0,1.5,0,446027
49000,0,0,25,9,0,1.5,0,446039
50000,0,0,25,9,0,1.5,0,446027
51000,0,0,25,9,0,1.5,0,446039
52000,0,0,25,9,0,1.5,0,446027
53000,0,0,25,9,0,1.5,0,446027
54000,0,0,25,9,0,1.5,0,446039
55000,0,0,25,9,0,1.5,0,446027
56000,0,0,25,9,0,1.5,0,446039
57000,0,0,25,9,0,1.5,0,446027
58000,0,0,25,9,0,1.5,0,446039
59000,0,0,25,9,0,1.5,0,446027
60000,0,0,25,9,0,1.5,0,446039
61000,0,0,25,9,0,1.5,0,446027
62000,0,0,25,9,0,1.5,0,446027
63000,0,0,25,9,0,1.5,0,446039
64000,0,0,25,9,0,1.5,0,446027
65000,0,0,25,9,0,1.5,0,446039
66000,0,0,25,9,0,1.5,0,446027
67000,0,0,25,9,0,1.5,0,446039
68000,0,0,25,9,0,1.5,0,446027
69000,0,0,25,9,0,1.5,0,446027
70000,0,0,25,9,0,1.5,0,446039
71000,0,0,25,9,0,1.5,0,446027
72000,0,0,25,9,0,1.5,0,446039
