time_ms,x_gNb,y_gNb,z_gNb,x_ue,y_ue,z_ue,throughput_kbps_uplink,throughput_kbps_downlink
2000,0,0,25,9,0,1.5,109476,0
3000,0,0,25,9,0,1.5,111167,0
4000,0,0,25,9,0,1.5,111167,0
5000,0,0,25,9,0,1.5,111167,0
6000,0,0,25,9,0,1.5,111167,0
7000,0,0,25,9,0,1.5,111167,0
8000,0,0,25,9,0,1.5,111167,0
9000,0,0,25,9,0,1.5,111167,0
10000,0,0,25,9,0,1.5,111167,0
11000,0,0,25,9,0,1.5,111167,0
12000,0,0,25,9,0,1.5,111167,0
13000,0,0,25,9,0,1.5,111167,0
14000,0,0,25,9,0,1.5,111167,0
15000,0,0,25,9,0,1.5,111167,0
16000,0,0,25,9,0,1.5,111167,0
17000,0,0,25,9,0,1.5,111167,0
18000,0,0,25,9,0,1.5,111167,0
19000,0,0,25,9,0,1.5,111167,0
20000,0,0,25,9,0,1.5,111167,0
21000,0,0,25,9,0,1.5,111167,0
22000,0,0,25,9,0,1.5,111167,0
23000,0,0,25,9,0,1.5,111167,0
24000,0,0,25,9,0,1.5,111167,0
25000,0,0,25,9,0,1.5,111167,0
26000,0,0,25,9,0,1.5,111167,0
27000,0,0,25,9,0,1.5,111167,0
28000,0,0,25,9,0,1.5,111167,0
29000,0,0,25,9,0,1.5,111167,0
30000,0,0,25,9,0,1.5,111167,0
31000,0,0,25,9,0,1.5,111167,0
32000,0,0,25,9,0,1.5,111167,0
33000,0,0,25,9,0,1.5,111167,0
34000,0,0,25,9,0,1.5,111167,0
35000,0,0,25,9,0,1.5,111167,0
36000,0,0,25,9,0,1.5,111167,0
37000,0,0,25,9,0,1.5,111167,0
38000,0,0,25,9,0,1.5,111167,0
39000,0,0,25,9,0,1.5,111167,0
40000,0,0,25,9,0,1.5,111167,0
41000,0,0,25,9,0,1.5,111167,0
42000,0,0,25,9,0,1.5,111167,0
43000,0,0,25,9,0,1.5,111167,0
44000,0,0,25,9,0,1.5,111167,0
45000,0,0,25,9,0,1.5,111167,0
46000,0,0,25,9,0,1.5,111167,0
47000,0,0,25,9,0,1.5,111167,0
48000,0,0,25,9,0,1.5,111167,0
49000,0,0,25,9,0,1.5,111167,0
50000,0,0,25,9,0,1.5,111167,0
51000,0,0,25,9,0,1.5,111167,0
52000,0,0,25,9,0,1.5,111167,0
53000,0,0,25,9,0,1.5,111167,0
54000,0,0,25,9,0,1.5,111167,0
55000,0,0,25,9,0,1.5,111167,0
56000,0,0,25,9,0,1.5,111167,0
57000,0,0,25,9,0,1.5,111178,0
58000,0,0,25,9,0,1.5,111167,0
59000,0,0,25,9,0,1.5,111167,0
60000,0,0,25,9,0,1.5,111167,0
61000,0,0,25,9,0,1.5,111167,0
62000,0,0,25,9,0,1.5,111167,0
63000,0,0,25,9,0,1.5,111167,0
64000,0,0,25,9,0,1.5,111167,0
65000,0,0,25,9,0,1.5,111167,0
66000,0,0,25,9,0,1.5,111167,0
67000,0,0,25,9,0,1.5,111167,0
68000,0,0,25,9,0,1.5,111167,0
69000,0,0,25,9,0,1.5,111167,0
70000,0,0,25,9,0,1.5,111167,0
71000,0,0,25,9,0,1.5,111167,0
72000,0,0,25,9,0,1.5,111167,0
