time_ms,x_gNb,y_gNb,z_gNb,x_ue,y_ue,z_ue,throughput_kbps_uplink,throughput_kbps_downlink
2000,0,0,25,56,0,1.5,20436.4,464902
3000,0,0,25,56,0,1.5,21821.3,494325
4000,0,0,25,56,0,1.5,21943.6,493723
5000,0,0,25,56,0,1.5,24646.8,490817
6000,0,0,25,56,0,1.5,24586,491007
7000,0,0,25,56,0,1.5,24565.6,490560
8000,0,0,25,56,0,1.5,24646.8,490832
9000,0,0,25,56,0,1.5,24586,490991
10000,0,0,25,56,0,1.5,24585.6,490576
11000,0,0,25,56,0,1.5,24647.2,490815
12000,0,0,25,56,0,1.5,24586,491008
13000,0,0,25,56,0,1.5,24565.6,490559
14000,0,0,25,56,0,1.5,24646.8,490832
15000,0,0,25,56,0,1.5,24586,490991
16000,0,0,25,56,0,1.5,24586,490576
17000,0,0,25,56,0,1.5,24647.2,490817
18000,0,0,25,56,0,1.5,24586,491007
19000,0,0,25,56,0,1.5,24565.6,490559
20000,0,0,25,56,0,1.5,24646.8,490834
21000,0,0,25,56,0,1.5,24586,490990
22000,0,0,25,56,0,1.5,24586,490576
23000,0,0,25,56,0,1.5,24647.2,490817
24000,0,0,25,56,0,1.5,24586,491007
25000,0,0,25,56,0,1.5,24565.6,490555
26000,0,0,25,56,0,1.5,24646.8,490837
27000,0,0,25,56,0,1.5,24586,490986
28000,0,0,25,56,0,1.5,24586,490580
29000,0,0,25,56,0,1.5,24647.2,490815
30000,0,0,25,56,0,1.5,24586,491008
31000,0,0,25,56,0,1.5,24565.6,490554
32000,0,0,25,56,0,1.5,24646.8,490837
33000,0,0,25,56,0,1.5,24586,490986
34000,0,0,25,56,0,1.5,24586,490580
35000,0,0,25,56,0,1.5,24647.2,490812
36000,0,0,25,56,0,1.5,24586,491011
37000,0,0,25,56,0,1.5,24565.2,490555
38000,0,0,25,56,0,1.5,24647.2,490837
39000,0,0,25,56,0,1.5,24585.6,490986
40000,0,0,25,56,0,1.5,24586,490579
41000,0,0,25,56,0,1.5,24646.8,490812
42000,0,0,25,56,0,1.5,24586,491011
43000,0,0,25,56,0,1.5,24565.6,490555
44000,0,0,25,56,0,1.5,24646.8,490837
45000,0,0,25,56,0,1.5,24586,490986
46000,0,0,25,56,0,1.5,24586,490576
47000,0,0,25,56,0,1.5,24646.8,490817
48000,0,0,25,56,0,1.5,24586,491007
49000,0,0,25,56,0,1.5,24565.6,490559
50000,0,0,25,56,0,1.5,24646.8,490837
51000,0,0,25,56,0,1.5,24586,490986
52000,0,0,25,56,0,1.5,24586,490576
53000,0,0,25,56,0,1.5,24646.8,490817
54000,0,0,25,56,0,1.5,24586,491007
55000,0,0,25,56,0,1.5,24565.6,490560
56000,0,0,25,56,0,1.5,24646.8,490837
57000,0,0,25,56,0,1.5,24586,490986
58000,0,0,25,56,0,1.5,24586,490576
59000,0,0,25,56,0,1.5,24646.8,490815
60000,0,0,25,56,0,1.5,24586,491011
61000,0,0,25,56,0,1.5,24565.6,490555
62000,0,0,25,56,0,1.5,24646.8,490837
63000,0,0,25,56,0,1.5,24586,490986
64000,0,0,25,56,0,1.5,24586,490576
65000,0,0,25,56,0,1.5,24646.8,490817
66000,0,0,25,56,0,1.5,24586,491007
67000,0,0,25,56,0,1.5,24565.6,490559
68000,0,0,25,56,0,1.5,24647.2,490837
69000,0,0,25,56,0,1.5,24586,490986
70000,0,0,25,56,0,1.5,24586,490576
71000,0,0,25,56,0,1.5,24646.8,490817
72000,0,0,25,56,0,1.5,24586,491007
73000,0,0,25,56,0,1.5,24565.6,490555
74000,0,0,25,56,0,1.5,24647.2,490837
75000,0,0,25,56,0,1.5,24586,490986
76000,0,0,25,56,0,1.5,24586,490580
77000,0,0,25,56,0,1.5,24646.8,490815
78000,0,0,25,56,0,1.5,24586,491008
79000,0,0,25,56,0,1.5,24565.6,490554
80000,0,0,25,56,0,1.5,24647.2,490837
81000,0,0,25,56,0,1.5,24586,490986
82000,0,0,25,56,0,1.5,24586,490580
83000,0,0,25,56,0,1.5,24646.8,490812
84000,0,0,25,56,0,1.5,24586,491011
85000,0,0,25,56,0,1.5,24565.6,490555
86000,0,0,25,56,0,1.5,24647.2,490837
87000,0,0,25,56,0,1.5,24586,490986
88000,0,0,25,56,0,1.5,24586,490579
89000,0,0,25,56,0,1.5,24646.8,490812
90000,0,0,25,56,0,1.5,24586,491011
91000,0,0,25,56,0,1.5,24565.6,490555
92000,0,0,25,56,0,1.5,24647.2,490837
93000,0,0,25,56,0,1.5,24586,490986
94000,0,0,25,56,0,1.5,24586,490580
95000,0,0,25,56,0,1.5,24646.8,490812
96000,0,0,25,56,0,1.5,24586,491011
97000,0,0,25,56,0,1.5,24565.6,490554
98000,0,0,25,56,0,1.5,24647.2,490837
99000,0,0,25,56,0,1.5,24586,490986
100000,0,0,25,56,0,1.5,24586,490580
101000,0,0,25,56,0,1.5,24646.8,490812
102000,0,0,25,56,0,1.5,24586,491011
103000,0,0,25,56,0,1.5,24565.6,490555
104000,0,0,25,56,0,1.5,24647.2,490837
105000,0,0,25,56,0,1.5,24586,490986
106000,0,0,25,56,0,1.5,24586,490579
107000,0,0,25,56,0,1.5,24646.8,490812
108000,0,0,25,56,0,1.5,24586,491011
109000,0,0,25,56,0,1.5,24565.6,490555
