time_ms,x_gNb,y_gNb,z_gNb,x_ue,y_ue,z_ue,throughput_kbps_uplink,throughput_kbps_downlink
2000,0,0,25,56,0,1.5,0,516045
3000,0,0,25,56,0,1.5,0,519129
4000,0,0,25,56,0,1.5,0,519118
5000,0,0,25,56,0,1.5,0,519129
6000,0,0,25,56,0,1.5,0,519118
7000,0,0,25,56,0,1.5,0,519118
8000,0,0,25,56,0,1.5,0,519129
9000,0,0,25,56,0,1.5,0,519118
10000,0,0,25,56,0,1.5,0,519118
11000,0,0,25,56,0,1.5,0,519129
12000,0,0,25,56,0,1.5,0,519118
13000,0,0,25,56,0,1.5,0,519129
14000,0,0,25,56,0,1.5,0,519118
15000,0,0,25,56,0,1.5,0,519118
16000,0,0,25,56,0,1.5,0,519129
17000,0,0,25,56,0,1.5,0,519118
18000,0,0,25,56,0,1.5,0,519129
19000,0,0,25,56,0,1.5,0,519118
20000,0,0,25,56,0,1.5,0,519118
21000,0,0,25,56,0,1.5,0,519129
22000,0,0,25,56,0,1.5,0,519118
23000,0,0,25,56,0,1.5,0,519129
24000,0,0,25,56,0,1.5,0,519118
25000,0,0,25,56,0,1.5,0,519118
26000,0,0,25,56,0,1.5,0,519129
27000,0,0,25,56,0,1.5,0,519118
28000,0,0,25,56,0,1.5,0,519129
29000,0,0,25,56,0,1.5,0,519118
30000,0,0,25,56,0,1.5,0,519118
31000,0,0,25,56,0,1.5,0,519129
32000,0,0,25,56,0,1.5,0,519118
33000,0,0,25,56,0,1.5,0,519129
34000,0,0,25,56,0,1.5,0,519118
35000,0,0,25,56,0,1.5,0,519118
36000,0,0,25,56,0,1.5,0,519129
37000,0,0,25,56,0,1.5,0,519118
38000,0,0,25,56,0,1.5,0,519129
39000,0,0,25,56,0,1.5,0,519118
40000,0,0,25,56,0,1.5,0,519118
41000,0,0,25,56,0,1.5,0,519129
42000,0,0,25,56,0,1.5,0,519118
43000,0,0,25,56,0,1.5,0,519129
44000,0,0,25,56,0,1.5,0,519118
45000,0,0,25,56,0,1.5,0,519118
46000,0,0,25,56,0,1.5,0,519129
47000,0,0,25,56,0,1.5,0,519118
48000,0,0,25,56,0,1.5,0,519118
49000,0,0,25,56,0,1.5,0,519129
50000,0,0,25,56,0,1.5,0,519118
51000,0,0,25,56,0,1.5,0,519129
52000,0,0,25,56,0,1.5,0,519118
53000,0,0,25,56,0,1.5,0,519118
54000,0,0,25,56,0,1.5,0,519129
55000,0,0,25,56,0,1.5,0,519118
56000,0,0,25,56,0,1.5,0,519129
57000,0,0,25,56,0,1.5,0,519118
58000,0,0,25,56,0,1.5,0,519118
59000,0,0,25,56,0,1.5,0,519129
60000,0,0,25,56,0,1.5,0,519118
61000,0,0,25,56,0,1.5,0,519129
62000,0,0,25,56,0,1.5,0,519118
63000,0,0,25,56,0,1.5,0,519118
64000,0,0,25,56,0,1.5,0,519129
65000,0,0,25,56,0,1.5,0,519118
66000,0,0,25,56,0,1.5,0,519129
67000,0,0,25,56,0,1.5,0,519118
68000,0,0,25,56,0,1.5,0,519118
69000,0,0,25,56,0,1.5,0,519129
70000,0,0,25,56,0,1.5,0,519118
71000,0,0,25,56,0,1.5,0,519129
72000,0,0,25,56,0,1.5,0,519118
73000,0,0,25,56,0,1.5,0,519118
74000,0,0,25,56,0,1.5,0,519129
75000,0,0,25,56,0,1.5,0,519118
76000,0,0,25,56,0,1.5,0,519129
77000,0,0,25,56,0,1.5,0,519118
78000,0,0,25,56,0,1.5,0,519118
79000,0,0,25,56,0,1.5,0,519129
80000,0,0,25,56,0,1.5,0,519118
81000,0,0,25,56,0,1.5,0,519129
82000,0,0,25,56,0,1.5,0,519118
83000,0,0,25,56,0,1.5,0,519118
84000,0,0,25,56,0,1.5,0,519129
85000,0,0,25,56,0,1.5,0,519118
86000,0,0,25,56,0,1.5,0,519118
87000,0,0,25,56,0,1.5,0,519129
88000,0,0,25,56,0,1.5,0,519118
89000,0,0,25,56,0,1.5,0,519129
90000,0,0,25,56,0,1.5,0,519118
91000,0,0,25,56,0,1.5,0,519118
92000,0,0,25,56,0,1.5,0,519129
93000,0,0,25,56,0,1.5,0,519118
94000,0,0,25,56,0,1.5,0,519129
95000,0,0,25,56,0,1.5,0,519118
96000,0,0,25,56,0,1.5,0,519118
97000,0,0,25,56,0,1.5,0,519129
98000,0,0,25,56,0,1.5,0,519118
99000,0,0,25,56,0,1.5,0,519129
100000,0,0,25,56,0,1.5,0,519118
101000,0,0,25,56,0,1.5,0,519118
102000,0,0,25,56,0,1.5,0,519129
103000,0,0,25,56,0,1.5,0,519118
104000,0,0,25,56,0,1.5,0,519129
105000,0,0,25,56,0,1.5,0,519118
106000,0,0,25,56,0,1.5,0,519118
107000,0,0,25,56,0,1.5,0,519129
108000,0,0,25,56,0,1.5,0,519118
109000,0,0,25,56,0,1.5,0,519129
110000,0,0,25,56,0,1.5,0,519118
111000,0,0,25,56,0,1.5,0,519118
112000,0,0,25,56,0,1.5,0,519129
113000,0,0,25,56,0,1.5,0,519118
114000,0,0,25,56,0,1.5,0,519129
115000,0,0,25,56,0,1.5,0,519118
116000,0,0,25,56,0,1.5,0,519118
117000,0,0,25,56,0,1.5,0,519129
118000,0,0,25,56,0,1.5,0,519118
119000,0,0,25,56,0,1.5,0,519118
120000,0,0,25,56,0,1.5,0,519129
121000,0,0,25,56,0,1.5,0,519118
122000,0,0,25,56,0,1.5,0,519129
123000,0,0,25,56,0,1.5,0,519118
124000,0,0,25,56,0,1.5,0,519118
125000,0,0,25,56,0,1.5,0,519129
126000,0,0,25,56,0,1.5,0,519118
127000,0,0,25,56,0,1.5,0,519129
128000,0,0,25,56,0,1.5,0,519118
129000,0,0,25,56,0,1.5,0,519118
130000,0,0,25,56,0,1.5,0,519129
131000,0,0,25,56,0,1.5,0,519118
132000,0,0,25,56,0,1.5,0,519129
133000,0,0,25,56,0,1.5,0,519118
134000,0,0,25,56,0,1.5,0,519118
135000,0,0,25,56,0,1.5,0,519129
136000,0,0,25,56,0,1.5,0,519118
137000,0,0,25,56,0,1.5,0,519129
138000,0,0,25,56,0,1.5,0,519118
139000,0,0,25,56,0,1.5,0,519118
140000,0,0,25,56,0,1.5,0,519129
141000,0,0,25,56,0,1.5,0,519118
142000,0,0,25,56,0,1.5,0,519129
143000,0,0,25,56,0,1.5,0,519118
144000,0,0,25,56,0,1.5,0,519118
145000,0,0,25,56,0,1.5,0,519129
146000,0,0,25,56,0,1.5,0,519118
147000,0,0,25,56,0,1.5,0,519129
148000,0,0,25,56,0,1.5,0,519118
149000,0,0,25,56,0,1.5,0,519118
150000,0,0,25,56,0,1.5,0,519129
151000,0,0,25,56,0,1.5,0,519118
152000,0,0,25,56,0,1.5,0,519129
153000,0,0,25,56,0,1.5,0,519118
154000,0,0,25,56,0,1.5,0,519118
155000,0,0,25,56,0,1.5,0,519129
156000,0,0,25,56,0,1.5,0,519118
157000,0,0,25,56,0,1.5,0,519118
158000,0,0,25,56,0,1.5,0,519129
159000,0,0,25,56,0,1.5,0,519118
160000,0,0,25,56,0,1.5,0,519129
161000,0,0,25,56,0,1.5,0,519118
162000,0,0,25,56,0,1.5,0,519118
