time_ms,x_gNb,y_gNb,z_gNb,x_ue,y_ue,z_ue,throughput_kbps_uplink,throughput_kbps_downlink
2000,0,0,25,56,0,1.5,15798.9,360153
3000,0,0,25,56,0,1.5,16660.8,376894
4000,0,0,25,56,0,1.5,16777.7,379298
5000,0,0,25,56,0,1.5,16878.4,380629
6000,0,0,25,56,0,1.5,18112.6,378730
7000,0,0,25,56,0,1.5,19094,379664
8000,0,0,25,56,0,1.5,18954.6,379586
9000,0,0,25,56,0,1.5,18896.4,376754
10000,0,0,25,56,0,1.5,18914.3,376589
11000,0,0,25,56,0,1.5,18890.6,377187
12000,0,0,25,56,0,1.5,18926.3,378394
13000,0,0,25,56,0,1.5,19038.7,378942
14000,0,0,25,56,0,1.5,18636,372093
15000,0,0,25,56,0,1.5,19005.8,378775
16000,0,0,25,56,0,1.5,18671.3,373059
17000,0,0,25,56,0,1.5,18905.5,376958
18000,0,0,25,56,0,1.5,18881.8,377104
19000,0,0,25,56,0,1.5,18957.5,378332
20000,0,0,25,56,0,1.5,18625.2,371100
21000,0,0,25,56,0,1.5,18825.7,375912
22000,0,0,25,56,0,1.5,19002.9,379291
23000,0,0,25,56,0,1.5,18870.6,375743
24000,0,0,25,56,0,1.5,18860.6,375930
25000,0,0,25,56,0,1.5,18845.2,375066
26000,0,0,25,56,0,1.5,18785.7,376146
27000,0,0,25,56,0,1.5,19040.7,378830
28000,0,0,25,56,0,1.5,18616,372474
29000,0,0,25,56,0,1.5,18934.7,377867
30000,0,0,25,56,0,1.5,18880.2,375922
31000,0,0,25,56,0,1.5,18827.3,376157
32000,0,0,25,56,0,1.5,18743.7,373420
33000,0,0,25,56,0,1.5,18861.9,376340
34000,0,0,25,56,0,1.5,18899.3,377416
35000,0,0,25,56,0,1.5,18801.1,374680
36000,0,0,25,56,0,1.5,18776.6,374444
37000,0,0,25,56,0,1.5,18773.7,374216
38000,0,0,25,56,0,1.5,18932.6,377826
39000,0,0,25,56,0,1.5,18881.8,376423
40000,0,0,25,56,0,1.5,18890.6,377468
41000,0,0,25,56,0,1.5,18908,377719
42000,0,0,25,56,0,1.5,18786.1,374921
43000,0,0,25,56,0,1.5,18898.9,375601
44000,0,0,25,56,0,1.5,18878.5,376535
45000,0,0,25,56,0,1.5,18829,376228
46000,0,0,25,56,0,1.5,18897.2,377864
47000,0,0,25,56,0,1.5,18840.6,373859
48000,0,0,25,56,0,1.5,18866.4,377234
49000,0,0,25,56,0,1.5,18951.3,378248
50000,0,0,25,56,0,1.5,18928.8,378175
51000,0,0,25,56,0,1.5,19040.7,379669
52000,0,0,25,56,0,1.5,18963.4,378369
53000,0,0,25,56,0,1.5,18964.2,376759
54000,0,0,25,56,0,1.5,18808.2,376734
55000,0,0,25,56,0,1.5,19002,378357
56000,0,0,25,56,0,1.5,18859.8,376589
57000,0,0,25,56,0,1.5,18992.9,377134
58000,0,0,25,56,0,1.5,18725.4,373963
59000,0,0,25,56,0,1.5,18752,375696
60000,0,0,25,56,0,1.5,19068.6,379788
61000,0,0,25,56,0,1.5,18973.8,379283
62000,0,0,25,56,0,1.5,19065.3,380055
63000,0,0,25,56,0,1.5,18962.1,378136
64000,0,0,25,56,0,1.5,18908.4,377271
65000,0,0,25,56,0,1.5,18631.8,372071
66000,0,0,25,56,0,1.5,18907.6,376286
67000,0,0,25,56,0,1.5,18599.8,371879
68000,0,0,25,56,0,1.5,18919.7,375586
69000,0,0,25,56,0,1.5,18777.4,376121
70000,0,0,25,56,0,1.5,18987.5,378099
71000,0,0,25,56,0,1.5,18760.8,375205
72000,0,0,25,56,0,1.5,18715.8,372734
73000,0,0,25,56,0,1.5,18834.4,375765
74000,0,0,25,56,0,1.5,18975.8,378768
75000,0,0,25,56,0,1.5,18945.5,378270
76000,0,0,25,56,0,1.5,18912.2,377277
77000,0,0,25,56,0,1.5,19022,379101
78000,0,0,25,56,0,1.5,18782,374215
79000,0,0,25,56,0,1.5,18792.8,374963
80000,0,0,25,56,0,1.5,18922.6,377655
81000,0,0,25,56,0,1.5,18783.6,374635
82000,0,0,25,56,0,1.5,18916.4,378145
83000,0,0,25,56,0,1.5,18969.6,376826
84000,0,0,25,56,0,1.5,18762.4,375071
85000,0,0,25,56,0,1.5,18983.7,379564
86000,0,0,25,56,0,1.5,18812.4,374383
87000,0,0,25,56,0,1.5,18908,377095
88000,0,0,25,56,0,1.5,18768.7,374643
89000,0,0,25,56,0,1.5,18845.2,375818
90000,0,0,25,56,0,1.5,18794,375710
91000,0,0,25,56,0,1.5,18774.5,373726
92000,0,0,25,56,0,1.5,18791.1,375668
93000,0,0,25,56,0,1.5,18918.8,376348
94000,0,0,25,56,0,1.5,18941.3,378058
95000,0,0,25,56,0,1.5,18846,375357
96000,0,0,25,56,0,1.5,18952.5,379549
97000,0,0,25,56,0,1.5,19035.3,379759
98000,0,0,25,56,0,1.5,18988.7,378987
99000,0,0,25,56,0,1.5,19078.2,380747
100000,0,0,25,56,0,1.5,18883.1,376253
101000,0,0,25,56,0,1.5,18995,379502
102000,0,0,25,56,0,1.5,18819.8,374237
103000,0,0,25,56,0,1.5,18908.4,377341
104000,0,0,25,56,0,1.5,19136.8,382855
105000,0,0,25,56,0,1.5,18891.8,376079
106000,0,0,25,56,0,1.5,18992.1,379104
107000,0,0,25,56,0,1.5,18906.4,376963
108000,0,0,25,56,0,1.5,19066.9,379928
109000,0,0,25,56,0,1.5,18913.4,378117
110000,0,0,25,56,0,1.5,19016.6,378203
111000,0,0,25,56,0,1.5,18916.8,378150
112000,0,0,25,56,0,1.5,18823.2,373829
113000,0,0,25,56,0,1.5,18604.4,372357
114000,0,0,25,56,0,1.5,18652.2,371764
115000,0,0,25,56,0,1.5,18789.9,375888
116000,0,0,25,56,0,1.5,18716.7,372606
117000,0,0,25,56,0,1.5,18737.1,372755
118000,0,0,25,56,0,1.5,18829,376519
119000,0,0,25,56,0,1.5,19147.2,381598
120000,0,0,25,56,0,1.5,18873.5,377299
121000,0,0,25,56,0,1.5,18971.7,377563
122000,0,0,25,56,0,1.5,18832.3,377374
123000,0,0,25,56,0,1.5,18936.3,376689
124000,0,0,25,56,0,1.5,18814.8,376191
125000,0,0,25,56,0,1.5,18791.6,372880
126000,0,0,25,56,0,1.5,18826.1,377025
127000,0,0,25,56,0,1.5,19065.7,380391
128000,0,0,25,56,0,1.5,18956.7,379141
129000,0,0,25,56,0,1.5,19044.1,378835
130000,0,0,25,56,0,1.5,18947.1,378327
131000,0,0,25,56,0,1.5,19042.8,378975
132000,0,0,25,56,0,1.5,18910.9,377224
133000,0,0,25,56,0,1.5,18919.7,377528
134000,0,0,25,56,0,1.5,18976.3,379572
135000,0,0,25,56,0,1.5,18925.9,377187
136000,0,0,25,56,0,1.5,18987.9,378075
137000,0,0,25,56,0,1.5,18987.9,379004
138000,0,0,25,56,0,1.5,18874.8,375743
139000,0,0,25,56,0,1.5,18964.2,379216
140000,0,0,25,56,0,1.5,18885.2,376589
141000,0,0,25,56,0,1.5,18808.2,376522
142000,0,0,25,56,0,1.5,19006.2,377520
143000,0,0,25,56,0,1.5,18938.4,378494
144000,0,0,25,56,0,1.5,18803.2,375103
145000,0,0,25,56,0,1.5,19007.5,378245
146000,0,0,25,56,0,1.5,18745.4,374904
147000,0,0,25,56,0,1.5,19004.1,378872
148000,0,0,25,56,0,1.5,18994.1,377755
149000,0,0,25,56,0,1.5,19037.8,380652
150000,0,0,25,56,0,1.5,19132.3,381556
151000,0,0,25,56,0,1.5,18814.8,375253
152000,0,0,25,56,0,1.5,18868.1,376831
153000,0,0,25,56,0,1.5,18940.9,377917
154000,0,0,25,56,0,1.5,18973.3,379163
155000,0,0,25,56,0,1.5,18754.5,373418
156000,0,0,25,56,0,1.5,18960.4,378569
157000,0,0,25,56,0,1.5,18802,374685
158000,0,0,25,56,0,1.5,18899.7,377162
159000,0,0,25,56,0,1.5,19127.7,380884
160000,0,0,25,56,0,1.5,19088.6,381046
161000,0,0,25,56,0,1.5,18800.7,375740
162000,0,0,25,56,0,1.5,19015.4,378506
163000,0,0,25,56,0,1.5,18832.7,375908
164000,0,0,25,56,0,1.5,18882.7,377349
165000,0,0,25,56,0,1.5,18903.9,376004
166000,0,0,25,56,0,1.5,19020.8,379370
167000,0,0,25,56,0,1.5,18951.3,379154
168000,0,0,25,56,0,1.5,19056.5,379510
169000,0,0,25,56,0,1.5,18889.7,377286
170000,0,0,25,56,0,1.5,19090.7,379387
171000,0,0,25,56,0,1.5,18611,372738
172000,0,0,25,56,0,1.5,18784.1,373211
173000,0,0,25,56,0,1.5,18886.4,377988
174000,0,0,25,56,0,1.5,18862.7,377145
175000,0,0,25,56,0,1.5,18919.3,376477
176000,0,0,25,56,0,1.5,18831.5,375100
177000,0,0,25,56,0,1.5,18939.6,378793
178000,0,0,25,56,0,1.5,19016.2,378673
179000,0,0,25,56,0,1.5,18987.1,379846
180000,0,0,25,56,0,1.5,18997.5,378639
181000,0,0,25,56,0,1.5,18827.7,375233
182000,0,0,25,56,0,1.5,18959.6,378394
183000,0,0,25,56,0,1.5,18958.8,377623
184000,0,0,25,56,0,1.5,18921.8,377507
185000,0,0,25,56,0,1.5,18999.6,379390
186000,0,0,25,56,0,1.5,18949.2,376634
187000,0,0,25,56,0,1.5,18677.6,374199
188000,0,0,25,56,0,1.5,18933.4,377752
189000,0,0,25,56,0,1.5,18891.8,376704
190000,0,0,25,56,0,1.5,18962.1,377784
191000,0,0,25,56,0,1.5,18820.7,376537
192000,0,0,25,56,0,1.5,18778.7,373921
193000,0,0,25,56,0,1.5,18948.4,378486
194000,0,0,25,56,0,1.5,19042,379124
195000,0,0,25,56,0,1.5,18883.9,377378
196000,0,0,25,56,0,1.5,18876.8,375240
197000,0,0,25,56,0,1.5,18860.2,377107
198000,0,0,25,56,0,1.5,18934.2,378730
199000,0,0,25,56,0,1.5,18980,377839
200000,0,0,25,56,0,1.5,18823.6,375569
201000,0,0,25,56,0,1.5,18898.5,376826
202000,0,0,25,56,0,1.5,18741.6,374979
203000,0,0,25,56,0,1.5,18968.4,377520
204000,0,0,25,56,0,1.5,18720.4,373634
205000,0,0,25,56,0,1.5,18803.2,374448
206000,0,0,25,56,0,1.5,18831.5,375863
207000,0,0,25,56,0,1.5,18864.8,375740
208000,0,0,25,56,0,1.5,18689.2,374083
209000,0,0,25,56,0,1.5,18929.2,376398
210000,0,0,25,56,0,1.5,18693,372992
211000,0,0,25,56,0,1.5,18883.5,376873
212000,0,0,25,56,0,1.5,18826.9,375323
213000,0,0,25,56,0,1.5,18989.6,378523
214000,0,0,25,56,0,1.5,19004.5,379398
215000,0,0,25,56,0,1.5,19076.5,381125
216000,0,0,25,56,0,1.5,18677.2,371996
217000,0,0,25,56,0,1.5,18669.7,372544
218000,0,0,25,56,0,1.5,18795.3,375772
219000,0,0,25,56,0,1.5,18988.7,377921
220000,0,0,25,56,0,1.5,18871.8,377829
221000,0,0,25,56,0,1.5,18800.3,374565
222000,0,0,25,56,0,1.5,19010.4,379306
223000,0,0,25,56,0,1.5,19005.8,378872
224000,0,0,25,56,0,1.5,18867.3,375461
225000,0,0,25,56,0,1.5,18815.7,375634
226000,0,0,25,56,0,1.5,18817.3,375905
227000,0,0,25,56,0,1.5,18935.1,377777
228000,0,0,25,56,0,1.5,18902.2,377444
229000,0,0,25,56,0,1.5,18758.7,373789
230000,0,0,25,56,0,1.5,19015.8,378934
231000,0,0,25,56,0,1.5,18798.2,376415
232000,0,0,25,56,0,1.5,18977.9,376373
233000,0,0,25,56,0,1.5,18811.9,376465
234000,0,0,25,56,0,1.5,18907.6,377395
235000,0,0,25,56,0,1.5,18906.4,376801
236000,0,0,25,56,0,1.5,18731.6,373792
237000,0,0,25,56,0,1.5,18853.5,375880
238000,0,0,25,56,0,1.5,18821.9,375569
239000,0,0,25,56,0,1.5,18795.3,375449
240000,0,0,25,56,0,1.5,18882.7,375623
