time_ms,x_gNb,y_gNb,z_gNb,x_ue,y_ue,z_ue,throughput_kbps_uplink,throughput_kbps_downlink
2000,0,0,25,56,0,1.5,0,395693
3000,0,0,25,56,0,1.5,0,394813
4000,0,0,25,56,0,1.5,0,394425
5000,0,0,25,56,0,1.5,0,397098
6000,0,0,25,56,0,1.5,0,395716
7000,0,0,25,56,0,1.5,0,396538
8000,0,0,25,56,0,1.5,0,395887
9000,0,0,25,56,0,1.5,0,396070
10000,0,0,25,56,0,1.5,0,396470
11000,0,0,25,56,0,1.5,0,391306
12000,0,0,25,56,0,1.5,0,393991
13000,0,0,25,56,0,1.5,0,399669
14000,0,0,25,56,0,1.5,0,394311
15000,0,0,25,56,0,1.5,0,396104
16000,0,0,25,56,0,1.5,0,397864
17000,0,0,25,56,0,1.5,0,390701
18000,0,0,25,56,0,1.5,0,394699
19000,0,0,25,56,0,1.5,0,395316
20000,0,0,25,56,0,1.5,0,393408
21000,0,0,25,56,0,1.5,0,390347
22000,0,0,25,56,0,1.5,0,395122
23000,0,0,25,56,0,1.5,0,395956
24000,0,0,25,56,0,1.5,0,396847
25000,0,0,25,56,0,1.5,0,395887
26000,0,0,25,56,0,1.5,0,397133
27000,0,0,25,56,0,1.5,0,396710
28000,0,0,25,56,0,1.5,0,398138
29000,0,0,25,56,0,1.5,0,395487
30000,0,0,25,56,0,1.5,0,394711
31000,0,0,25,56,0,1.5,0,399977
32000,0,0,25,56,0,1.5,0,394779
33000,0,0,25,56,0,1.5,0,393957
34000,0,0,25,56,0,1.5,0,393682
35000,0,0,25,56,0,1.5,0,395545
36000,0,0,25,56,0,1.5,0,393591
37000,0,0,25,56,0,1.5,0,394494
38000,0,0,25,56,0,1.5,0,395830
39000,0,0,25,56,0,1.5,0,394585
40000,0,0,25,56,0,1.5,0,396504
41000,0,0,25,56,0,1.5,0,399212
42000,0,0,25,56,0,1.5,0,396173
43000,0,0,25,56,0,1.5,0,396093
44000,0,0,25,56,0,1.5,0,396219
45000,0,0,25,56,0,1.5,0,395236
46000,0,0,25,56,0,1.5,0,398206
47000,0,0,25,56,0,1.5,0,396915
48000,0,0,25,56,0,1.5,0,397966
49000,0,0,25,56,0,1.5,0,393203
50000,0,0,25,56,0,1.5,0,395442
51000,0,0,25,56,0,1.5,0,400982
52000,0,0,25,56,0,1.5,0,399109
