time_ms,x_gNb,y_gNb,z_gNb,x_ue,y_ue,z_ue,throughput_kbps_uplink,throughput_kbps_downlink
2000,0,0,25,9,0,1.5,360732,15664.9
3000,0,0,25,9,0,1.5,463095,19790.4
4000,0,0,25,9,0,1.5,481469,20013.3
5000,0,0,25,9,0,1.5,487302,21649.9
6000,0,0,25,9,0,1.5,486451,22838
7000,0,0,25,9,0,1.5,481837,25928.9
8000,0,0,25,9,0,1.5,483826,23569.7
9000,0,0,25,9,0,1.5,482824,24891.8
10000,0,0,25,9,0,1.5,483186,24363
11000,0,0,25,9,0,1.5,484185,23651.3
12000,0,0,25,9,0,1.5,483555,23813.9
13000,0,0,25,9,0,1.5,482659,25094.8
14000,0,0,25,9,0,1.5,482738,24749.5
15000,0,0,25,9,0,1.5,487331,21759.7
16000,0,0,25,9,0,1.5,482562,25197.1
17000,0,0,25,9,0,1.5,482730,24627.2
18000,0,0,25,9,0,1.5,482547,25155.9
19000,0,0,25,9,0,1.5,482559,25196.7
20000,0,0,25,9,0,1.5,487227,21637.8
21000,0,0,25,9,0,1.5,482824,24912.2
22000,0,0,25,9,0,1.5,482402,25095.2
23000,0,0,25,9,0,1.5,482609,24972.9
24000,0,0,25,9,0,1.5,487356,21922.8
25000,0,0,25,9,0,1.5,482736,24749.1
26000,0,0,25,9,0,1.5,482569,24993.7
27000,0,0,25,9,0,1.5,482530,25237.5
28000,0,0,25,9,0,1.5,482738,24749.1
29000,0,0,25,9,0,1.5,487330,21760.1
30000,0,0,25,9,0,1.5,482559,25196.7
31000,0,0,25,9,0,1.5,482733,24627.2
32000,0,0,25,9,0,1.5,482547,25155.9
33000,0,0,25,9,0,1.5,487174,21861.6
34000,0,0,25,9,0,1.5,482612,24973.3
35000,0,0,25,9,0,1.5,482825,24911.7
36000,0,0,25,9,0,1.5,482397,25095.2
37000,0,0,25,9,0,1.5,487434,21658.2
38000,0,0,25,9,0,1.5,482534,25237.5
39000,0,0,25,9,0,1.5,482733,24749.5
40000,0,0,25,9,0,1.5,482572,24993.3
41000,0,0,25,9,0,1.5,487319,21963.1
42000,0,0,25,9,0,1.5,482733,24627.2
43000,0,0,25,9,0,1.5,482547,25156.4
44000,0,0,25,9,0,1.5,482559,25196.7
45000,0,0,25,9,0,1.5,482733,24627.2
46000,0,0,25,9,0,1.5,487319,21922.8
47000,0,0,25,9,0,1.5,482400,25095.2
48000,0,0,25,9,0,1.5,482614,24972.9
49000,0,0,25,9,0,1.5,482821,24912.2
50000,0,0,25,9,0,1.5,487265,21759.7
51000,0,0,25,9,0,1.5,482572,24993.3
52000,0,0,25,9,0,1.5,482530,25237.5
53000,0,0,25,9,0,1.5,482738,24749.5
54000,0,0,25,9,0,1.5,487331,21759.7
55000,0,0,25,9,0,1.5,482562,25197.1
56000,0,0,25,9,0,1.5,482730,24627.2
57000,0,0,25,9,0,1.5,482547,25155.9
58000,0,0,25,9,0,1.5,482559,25196.7
59000,0,0,25,9,0,1.5,487227,21637.8
60000,0,0,25,9,0,1.5,482824,24912.2
61000,0,0,25,9,0,1.5,482402,25095.2
62000,0,0,25,9,0,1.5,482609,24972.9
63000,0,0,25,9,0,1.5,487356,21922.8
64000,0,0,25,9,0,1.5,482736,24749.1
65000,0,0,25,9,0,1.5,482569,24993.7
66000,0,0,25,9,0,1.5,482530,25237.5
67000,0,0,25,9,0,1.5,482738,24749.1
68000,0,0,25,9,0,1.5,487330,21760.1
69000,0,0,25,9,0,1.5,482559,25196.7
70000,0,0,25,9,0,1.5,482733,24627.2
71000,0,0,25,9,0,1.5,482547,25155.9
72000,0,0,25,9,0,1.5,487174,21861.6
73000,0,0,25,9,0,1.5,482612,24973.3
74000,0,0,25,9,0,1.5,482825,24911.7
75000,0,0,25,9,0,1.5,482397,25095.2
76000,0,0,25,9,0,1.5,487434,21658.2
77000,0,0,25,9,0,1.5,482534,25237.5
78000,0,0,25,9,0,1.5,482733,24749.5
79000,0,0,25,9,0,1.5,482572,24993.3
80000,0,0,25,9,0,1.5,487319,21963.1
81000,0,0,25,9,0,1.5,482733,24627.2
82000,0,0,25,9,0,1.5,482547,25156.4
83000,0,0,25,9,0,1.5,482559,25196.7
84000,0,0,25,9,0,1.5,482733,24627.2
85000,0,0,25,9,0,1.5,487319,21922.8
86000,0,0,25,9,0,1.5,482400,25095.2
87000,0,0,25,9,0,1.5,482614,24972.9
88000,0,0,25,9,0,1.5,482821,24912.2
89000,0,0,25,9,0,1.5,487265,21759.7
90000,0,0,25,9,0,1.5,482572,24993.3
91000,0,0,25,9,0,1.5,482530,25237.5
92000,0,0,25,9,0,1.5,482738,24749.5
93000,0,0,25,9,0,1.5,487331,21759.7
94000,0,0,25,9,0,1.5,482562,25197.1
95000,0,0,25,9,0,1.5,482730,24627.2
96000,0,0,25,9,0,1.5,482547,25155.9
97000,0,0,25,9,0,1.5,482559,25196.7
98000,0,0,25,9,0,1.5,487227,21637.8
99000,0,0,25,9,0,1.5,482824,24912.2
100000,0,0,25,9,0,1.5,482402,25095.2
101000,0,0,25,9,0,1.5,482609,24972.9
102000,0,0,25,9,0,1.5,487356,21922.8
103000,0,0,25,9,0,1.5,482736,24749.1
104000,0,0,25,9,0,1.5,482569,24993.7
105000,0,0,25,9,0,1.5,482530,25237.5
106000,0,0,25,9,0,1.5,482738,24749.1
107000,0,0,25,9,0,1.5,487330,21760.1
108000,0,0,25,9,0,1.5,482559,25196.7
109000,0,0,25,9,0,1.5,482733,24627.2
110000,0,0,25,9,0,1.5,482547,25155.9
111000,0,0,25,9,0,1.5,487174,21861.6
112000,0,0,25,9,0,1.5,482612,24973.3
113000,0,0,25,9,0,1.5,482825,24911.7
114000,0,0,25,9,0,1.5,482397,25095.2
115000,0,0,25,9,0,1.5,487434,21658.2
116000,0,0,25,9,0,1.5,482534,25237.5
